Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
A,NYSE,"AGILENT TECHNOLOGIES, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.investor.agilent.com/overview/default.aspx,100%,parmeet_ahuja@agilent.com,(800) 962-4284,"Agilent Technologies Investor Relations 5301 Stevens Creek Blvd. MS 1A-IR Santa Clara, CA 95051",https://www.agilent.com/about/newsroom/presrel/2022/01nov-gp22025.html,100%,"296,040,000",00846U101,,100%,100%,1090872,,,,2024-08-03 15:29:26,,,,
AA,NYSE,Alcoa Corp,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Alcoa Corporation%22+%22transfer+agent%22,100%,James.Dwyer@alcoa.com,(412) 992-5450,"201 Isabella StreetSuite 500Pittsburgh, PA 15212-5858United States of America",https://investors.alcoa.com/investor-resources/faqs/default.aspx,100%,"178,000,000",013872106,,100%,100%,1675149,,,,2024-12-05 04:51:15,,,,
AAAU,CBOE,Goldman Sachs Physical Gold ETF,,,,,0%,,,,,0%,,,,0%,0%,1708646,,,,,,,,
AAC,NYSE,Ares Acquisition Corporation,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,No,7808,,100%,IRARES@aresmgmt.com,(888) 818-5298,"Ares Management CorporationAttn: Veronica Mendiola Mayer245 Park Ave, 44th Floor New York, NY 10167",https://www.ares-ir.com/corporate-profile/default.aspx,100%,"100,000,000",G33032106,,100%,100%,1829432,,,,2023-12-12 14:29:29,,,,
AAC-UN,NYSE,Ares Acquisition Corporation,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,No,7808,https://www.google.com/search?q=%22Ares Acquisition Corporation%22+%22transfer+agent%22,100%,IRARES@aresmgmt.com,(888) 818-5298,"Ares Management CorporationAttn: Veronica Mendiola Mayer245 Park Ave, 44th Floor New York, NY 10167",https://www.ares-ir.com/corporate-profile/default.aspx,100%,,,,0%,67%,1829432,,,,2023-12-12 14:29:36,,,,
AAC-WT,NYSE,Ares Acquisition Corporation,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,No,7808,https://www.google.com/search?q=%22Ares Acquisition Corporation%22+%22transfer+agent%22,100%,IRARES@aresmgmt.com,(888) 818-5298,"Ares Management CorporationAttn: Veronica Mendiola Mayer245 Park Ave, 44th Floor New York, NY 10167",https://www.ares-ir.com/corporate-profile/default.aspx,100%,,,,0%,67%,1829432,,,,2023-12-12 14:29:52,,,,
AACB,Nasdaq,Artius II Acquisition Inc.,,,,,,,,,,,,,,,,2034334,,,,,,,,
AACG,Nasdaq,ATA Creativity Global,"Citibank, N.A.",,7923,https://www.google.com/search?q=%22ATA Creativity Global%22+%22transfer+agent%22,67%,simaruobai@acgedu.cn,(610) 6518-1133 x 5518,"ATA Creativity Global c/o 1/F East Gate, Building No.2, Jian Wai Soho, No.39 Dong San Huan Zhong Road, Chao Yang District, Beijing 100022, China",https://ir.atai.net.cn/contacts,100%,"63,200,000",00211V106,,100%,89%,1420529,,,,2023-12-12 14:29:56,,,,
AACI,Nasdaq,Armada Acquisition Corp. I,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000217/armadas1a.htm,33%,sherbert@armadaacq.com,(215) 543-6886,"2005 Market Street, Suite 3120, Philadelphia, PA 19103 USA",https://armadaacq.com/contact-us/,100%,"20,710,000",04208V103,,100%,78%,1844817,,,✔,2023-12-24 02:11:13,,,,
AACIU,Nasdaq,Armada Acquisition Corp. I,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1844817/000095015921000217/armadas1a.htm,33%,sherbert@armadaacq.com,(215) 543-6886,"2005 Market Street, Suite 3120, Philadelphia, PA 19103 USA",https://armadaacq.com/contact-us/,100%,,04208V202,,50%,61%,1844817,,,✔,2023-12-24 02:11:17,,,,
