Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
B,NYSE,BARNES GROUP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,ir@onebarnes.com,1-860-583-7070,"123 MAIN ST, BRISTOL, CT, 06010",https://ir.onebarnes.com/home/default.aspx,100%,"50,520,000",67806109,,100%,100%,9984,,,,2023-12-24 06:15:51,,,,
BA,NYSE,BOEING CO,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Boeing%22+%22transfer+agent%22,100%,joseph.m.ragsdale@boeing.com,7034146338,"Boeing Investor Relations 100 N. Riverside Plaza Chicago, IL 60606",https://investors.boeing.com/investors/investor-resources/default.aspx,100%,"593,810,000",97023105,,100%,100%,12927,,,,2023-12-27 22:06:53,,,,
BA-PA,NYSE,BOEING CO,,,,,,,,,,,,,,,,12927,,,,,,,,
BABA,NYSE,Alibaba Group Holding Ltd,Deutsche Bank Trust Company Americas (ADS),,,https://www.adr.db.com/drwebrebrand/dr-universe/dr_details.html?identifier=10387,33%,investor@alibaba-inc.com,852 2215-5100,"26/F TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, Hong Kong, 00000",https://www.sec.gov/Archives/edgar/data/1577552/000110465923092264/tm2323926d1_ex99-1.htm,100%,"21,185,110,000",01609W102,,100%,78%,1577552,,,,2023-12-24 06:05:20,,,,
BABAF,OTC,Alibaba Group Holding Ltd,,,,,0%,,,,,0%,,,,0%,0%,1577552,,,,,,,,
BABB,OTC,"BAB, INC.",,,,,0%,,,,,0%,,,,0%,0%,1123596,,,,,,,,
BABL,OTC,Buildablock Corp.,,,,,0%,,,,,0%,,,,0%,0%,1345865,,,,,,,,
BABLD,OTC,Buildablock Corp.,,,,,0%,,,,,0%,,,,0%,0%,1345865,,,,,,,,
BABY,,"PishPosh, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1611282,,,,,,,,
BAC,NYSE,BANK OF AMERICA CORP /DE/,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Bank of America%22+%22transfer+agent%22,100%,i_r@bofa.com,(704) 386-5681,,"https://investor.bankofamerica.com/#:~:text=Transfer%20Agent,Computershare%20Trust%20Company%2C%20N.A.",67%,"8,035,240,000",60505104,,100%,89%,70858,,,,2023-02-27 04:10:26,,,,
BAC-PB,NYSE,BANK OF AMERICA CORP /DE/,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Bank of America%22+%22transfer+agent%22,100%,i_r@bofa.com,(704) 386-5681,,"https://investor.bankofamerica.com/#:~:text=Transfer%20Agent,Computershare%20Trust%20Company%2C%20N.A.",67%,,,,0%,56%,70858,,,,2023-02-27 04:10:26,,,,
BAC-PE,NYSE,BANK OF AMERICA CORP /DE/,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Bank of America%22+%22transfer+agent%22,100%,i_r@bofa.com,(704) 386-5681,,"https://investor.bankofamerica.com/#:~:text=Transfer%20Agent,Computershare%20Trust%20Company%2C%20N.A.",67%,,,,0%,56%,70858,,,,2023-02-27 04:10:26,,,,
BAC-PK,NYSE,BANK OF AMERICA CORP /DE/,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Bank of America%22+%22transfer+agent%22,100%,i_r@bofa.com,(704) 386-5681,,"https://investor.bankofamerica.com/#:~:text=Transfer%20Agent,Computershare%20Trust%20Company%2C%20N.A.",67%,,,,0%,56%,70858,,,,2023-02-27 04:10:26,,,,
