Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
C,NYSE,CITIGROUP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Citigroup%22+%22transfer+agent%22,100%,investorrelations@citi.com,(212) 559-2718,"388 GREENWICH STREET, NEW YORK, NY, 10013",https://www.citigroup.com/citi/investor/info.html,100%,"1,941,920,000",172967424,,100%,100%,831001,,,,2024-01-05 12:38:26,,,,
C-PJ,NYSE,CITIGROUP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Citigroup%22+%22transfer+agent%22,100%,investorrelations@citi.com,(212) 559-2718,"388 GREENWICH STREET, NEW YORK, NY, 10013",https://www.citigroup.com/citi/investor/info.html,100%,,172967234,,50%,83%,831001,,,,2024-01-05 12:38:31,,,,
C-PK,NYSE,CITIGROUP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Citigroup%22+%22transfer+agent%22,100%,investorrelations@citi.com,(212) 559-2718,"388 GREENWICH STREET, NEW YORK, NY, 10013",https://www.citigroup.com/citi/investor/info.html,100%,,172967234,,50%,83%,831001,,,,2023-02-27 04:13:53,,,,
C-PN,NYSE,CITIGROUP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Citigroup%22+%22transfer+agent%22,100%,investorrelations@citi.com,(212) 559-2718,"388 GREENWICH STREET, NEW YORK, NY, 10013",https://www.citigroup.com/citi/investor/info.html,100%,,172967234,,50%,83%,831001,,,,2024-01-05 12:38:30,,,,
CAAP,NYSE,CORPORACION AMERICA AIRPORTS S.A.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,https://www.sec.gov/Archives/edgar/data/1717393/000157104917008645/t1703028-f1.htm,33%,contact@corporacionamericaairports.com,352 26 25 82 74,"128, Boulevard de la Pétrusse, L-2330 Luxembourg",https://investors.corporacionamericaairports.com/investors/corporate-profile/default.aspx,100%,"163,220,000",L1995B107,,100%,78%,1717393,,,,2024-01-05 12:43:26,,,,
CAAS,Nasdaq,CHINA AUTOMOTIVE SYSTEMS INC,Securities Transfer Corporation,,7841,http://www.caasauto.com/#/ct/dir/102,67%,kevin@awakenlab.com,1-212-510-8922,"D8 Henglong Building,Optics Valley Software ParkGuanshan Road, Wuhan, 430073",http://www.caasauto.com/#/ct/dir/102,100%,"30,660,000",16936R105,,100%,89%,1157762,,,,2024-01-05 12:46:13,,,,
CABA,Nasdaq,"Cabaletta Bio, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,investors@cabalettabio.com,(267) 759-3100,"2929 Arch Street, Suite 600, Philadelphia, PA 19104",https://www.cabalettabio.com/investors/company-information,100%,"25,600,000",12674W109,,100%,89%,1759138,,,,2024-01-05 12:47:33,,,,
CABI,OTC,"EL-0713 Fund I, a series of Roll Up Vehicles, LP",,,,,,,,,,,,,,,,1987101,,,,,,,,
CABO,NYSE,"Cable One, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,investor_relations@cableone.biz,602-364-6000,"210 E. EARLL DRIVE, PHOENIX, AZ, 85012",https://ir.cableone.net/corporate-profile/default.aspx,100%,"5,880,000",12685J105,,100%,100%,1632127,,,,2024-01-05 12:49:26,,,,
CAC,Nasdaq,CAMDEN NATIONAL CORP,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,,,,,0%,"14,630,000",133034108,,100%,67%,750686,,,,2023-02-27 04:10:26,,,,
