Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
D,NYSE,"DOMINION ENERGY, INC",BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.google.com/search?q=%22Dominion Energy%22+%22transfer+agent%22,100%,investor.relations@dominionenergy.com,(804) 819-2205,,https://investors.dominionenergy.com/contacts/default.aspx,67%,"830,650,000",25746U109,,100%,89%,715957,,,,2023-12-20 02:33:31,,,,
DAC,NYSE,Danaos Corp,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,danaos@rosecoglobal.com,212-359-2228,"3, Christaki Kompou Street Peters House 3011, Limassol Cyprus",https://www.danaos.com/news-and-media/press-release-details/2023/Danaos-Corporation-Reports-Second-Quarter-and-Half-Year-Results-for-the-Period-Ended-June-30-2023/default.aspx,100%,"20,720,000",Y1968P121,,100%,100%,1369241,,,✔,2023-12-20 02:32:53,,,,
DADA,Nasdaq,Dada Nexus Ltd,"JPMorgan Chase Bank, N.A. (ADS)",,,https://www.sec.gov/Archives/edgar/data/1793862/000119312520163470/d838738d424b4.htm,33%,ir@imdada.cn,,"Shanghai, 20-22F , Oriental Fisherman's Wharf, 1088 Yangshupu Road, Yangpu District, China",https://ir.imdada.cn/ir-resources/ir-contacts,67%,"927,780,000",23344D108,,100%,67%,1793862,,,✔,2023-12-30 12:32:48,,,,
DAIO,Nasdaq,DATA I/O CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://www.dataio.com/Company/Investor-Relations,33%,investorrelations@dataio.com,(425) 881-6444,"6645 185th Avenue NE, Suite 100Redmond, WA 98052 USA",https://www.dataio.com/Company/Investor-Relations,100%,"8,820,000",237690102,,100%,78%,351998,,,✔,2025-02-22 06:22:42,,,,
DAKT,Nasdaq,DAKTRONICS INC /SD/,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,investor@daktronics.com,605-692-0200,"Brookings, 201 Daktronics Ave, United States",https://investor.daktronics.com/news-releases/news-release-details/daktronics-present-and-host-1x1-investor-meetings-14th-annual,100%,"45,030,000",234264109,,100%,100%,915779,,,✔,2023-12-20 02:26:53,,,,
DAL,NYSE,"DELTA AIR LINES, INC.",EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22Delta Air Lines%22+%22transfer+agent%22,100%,investorrelations@delta.com,(404) 715-2170,,https://ir.delta.com/resources/default.aspx,67%,"641,200,000",247361702,,100%,89%,27904,,,,2023-02-27 04:10:26,,,,
DALN,Nasdaq,DallasNews Corp,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://investor.ahbelo.com/stock-information/shareholder-services,33%,invest@dallasnews.com,214-977-8869,"1954 Commerce Street Dallas, Texas 75201",https://investor.dallasnewscorporation.com/contact-ir,100%,"4,740,000",235050101,,100%,78%,1413898,,,✔,2023-12-20 02:25:53,,,,
DALS,Nasdaq,DA32 Life Science Tech Acquisition Corp,,,,,0%,,,,,0%,"20,650,000",23312M106,,100%,33%,1863294,,,✔,2023-02-27 04:13:44,,,,
DAN,NYSE,DANA Inc,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,No,7824,https://danaincorporated.gcs-web.com/investor-contact,100%,InvestorRelations@dana.com,(800) 537-8823,"3939 Technology Drive, Maumee, OH 43537 U.S.A",https://danaincorporated.gcs-web.com/investor-contact,100%,"143,350,000",235825205,,100%,100%,26780,,,,2023-12-20 02:24:16,,,,
DAO,NYSE,"Youdao, Inc.",The Bank Of New York Mellon (ADS),,,https://www.sec.gov/Archives/edgar/data/1781753/000119312519258627/d771710df1.htm,33%,wangduanyang@corp.netease.com,86-10-82558163-89980,"7 West Zone Zhongguancun Software Park II Beijing, 100193 China",https://ir.youdao.com/#/,100%,"37,680,000",98741T104,,100%,78%,1781753,,,✔,2023-12-21 04:44:01,,,,
DAR,NYSE,DARLING INGREDIENTS INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://ir.darlingii.com/contact-ir,100%,suann.guthrie@darlingii.com,(469) 214-8202,"5601 N. MacArthur BlvdIrving, TX 75038",https://ir.darlingii.com/contact-ir,100%,"160,370,000",237266101,,100%,100%,916540,,,,2023-12-20 02:13:41,,,,
DARE,Nasdaq,"Dare Bioscience, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1401914/000140191422000042/a2022definitiveproxystatem.htm,67%,lroth@burnsmc.com,,"3655 Nobel Drive, Suite 260, San Diego, CA 92122",https://ir.darebioscience.com/news-releases/news-release-details/dare-bioscience-reports-second-quarter-2023-financial-results,67%,"84,820,000",23666P101,,100%,78%,1401914,,,✔,2023-12-20 02:10:18,,,,
DASH,Nasdaq,"DoorDash, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22DoorDash%22+%22transfer+agent%22,100%,ir@doordash.com,,"303 2nd Street, South Tower, 8th FloorSan Francisco, California 94107","https://ir.doordash.com/resources/investor-faqs/default.aspx#:~:text=The%20transfer%20agent%20and%20registrar,is%20Computershare%20Trust%20Company%2C%20N.A.&text=Telephone%20inquiries%3A%201%2D800%2D,option%201%20(non%2DU.S.)",67%,"357,960,000",25809K105,,100%,89%,1792789,,,,2023-12-20 02:08:49,,,,
DATS,Nasdaq,"DatChat, Inc.",West Coast Stock Transfer,,,https://www.sec.gov/Archives/edgar/data/1648960/000152013821000337/datc-20210628_s1.htm,33%,ir@datchats.com,1 800-658-8081,"204 Neilson St.New Brunswick, NJ 08901",https://datchat.com/contact,100%,"20,600,000",23816M107,,100%,78%,1648960,,,,2023-12-20 02:07:34,,,,
DATSW,Nasdaq,"DatChat, Inc.",West Coast Stock Transfer,,,https://www.sec.gov/Archives/edgar/data/1648960/000152013821000337/datc-20210628_s1.htm,33%,ir@datchats.com,1 800-658-8081,"204 Neilson St.New Brunswick, NJ 08901",https://datchat.com/contact,100%,"20,600,000",23816M115,,100%,78%,1648960,,,,2023-12-20 02:07:35,,,,
DAVA,NYSE,Endava plc,"Citibank, N.A. (ADS)",,,https://investors.endava.com/about-us/faq,33%,Investors@endava.com,,"125 Old Broad Street, London, EC2N 1AR, United Kingdom",https://investors.endava.com/about-us/contacts,67%,"38,440,000",29260V105,,100%,67%,1656081,,,✔,2023-12-20 02:00:32,,,,
DAVE,Nasdaq,Dave Inc./DE,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1841408/000114036122042535/ny20005726x2_def14a.htm,67%,DAVE@elevate-ir.com,,"1265 South Cochran Avenue, Los Angeles",https://investors.dave.com/news-releases/news-release-details/dave-participate-hc-wainwright-global-investment-conference,67%,"326,060,000",23834J102,,100%,78%,1841408,,,✔,2023-12-20 01:57:53,,,,
DAVEW,Nasdaq,Dave Inc./DE,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1841408/000114036122042535/ny20005726x2_def14a.htm,67%,DAVE@elevate-ir.com,,"1265 South Cochran Avenue, Los Angeles",https://investors.dave.com/news-releases/news-release-details/dave-participate-hc-wainwright-global-investment-conference,67%,"374,120,000",23834J110,,100%,78%,1841408,,,✔,2023-12-20 01:57:53,,,,
DAWN,Nasdaq,"Day One Biopharmaceuticals, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/1845337/000114036122016599/ny20003634x1_def14a.htm,100%,investors@dayonebio.com,,"395 Oyster Point Boulevard, Suite 217, South San Francisco, CA 94080",https://ir.dayonebio.com,67%,"73,460,000",23954D109,,100%,89%,1845337,,,✔,2023-12-20 01:55:46,,,,
DAY,NYSE,"Dayforce, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1725057,,,,,,,,
DB,NYSE,DEUTSCHE BANK AKTIENGESELLSCHAFT,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,"https://www.adr.db.com/drwebrebrand/resources/global-direct#:~:text=DB%20Global%20Direct%20dedicated%20line,is%20%2B1%20866%20706%208374%20.",33%,db.ir@db.com,1 212 250 2500,"Taunusanlage 1260325 Frankfurt am Main, Germany","https://investor-relations.db.com/reports-and-events/sec-filings-for-financial-results/#:~:text=If%20you%20would%20like%20to,.ir%40db.com.",100%,"2,065,430,000",D18190898,,100%,78%,1159508,,,✔,2023-12-20 01:54:48,,,,
DBA,NYSE,INVESCO DB AGRICULTURE FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/5094/000119312522178817/d350724ddef14a.htm,100%,ir@invesco.com,(404) 892-0896,"Two Peachtree Pointe 1555 Peachtree Street, N.E., Suite 1800 Atlanta, GA 30309 USA",https://www.invesco.com/corporate/en/contact-us.html,100%,"74,700,040",46140H106,,100%,100%,1383082,,,,2023-12-20 01:35:30,,,,
DBB,NYSE,INVESCO DB BASE METALS FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/5094/000119312522178817/d350724ddef14a.htm,100%,ir@invesco.com,(404) 892-0896,"Two Peachtree Pointe 1555 Peachtree Street, N.E., Suite 1800 Atlanta, GA 30309 USA",https://www.invesco.com/corporate/en/contact-us.html,100%,"16,700,040",46140H700,,100%,100%,1383084,,,,2023-12-20 01:32:28,,,,
DBC,NYSE,Invesco DB Commodity Index Tracking Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/5094/000119312522178817/d350724ddef14a.htm,100%,ir@invesco.com,(404) 892-0896,"Two Peachtree Pointe 1555 Peachtree Street, N.E., Suite 1800 Atlanta, GA 30309 USA",https://www.invesco.com/corporate/en/contact-us.html,100%,"157,500,000",46138B103,,100%,100%,1328237,,,,2023-12-20 01:32:23,,,,
DBD,NYSE,"DIEBOLD NIXDORF, Inc",EQUINITI TRUST COMPANY,Yes,7806/7835,https://investors.dieboldnixdorf.com/resources/investor-contacts/default.aspx,100%,Christine.Marchuska@dieboldnixdorf.com,1 330 490 4000,"50 Executive PkwyHudson, OH 44236United States",https://investors.dieboldnixdorf.com/resources/information-request-form/default.aspx,100%,"79,060,000",253651103,,100%,100%,28823,,,,2023-12-20 01:52:10,,,,
DBE,NYSE,Invesco DB Energy Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/5094/000119312522178817/d350724ddef14a.htm,100%,ir@invesco.com,(404) 892-0896,"Two Peachtree Pointe 1555 Peachtree Street, N.E., Suite 1800 Atlanta, GA 30309 USA",https://www.invesco.com/corporate/en/contact-us.html,100%,"8,600,040",46140H304,,100%,100%,1383062,,,,2023-12-20 01:32:19,,,,
DBGI,OTC,"Digital Brands Group, Inc.",VStock Transfer LLC,,,https://ir.digitalbrandsgroup.co/company-information/contacts,33%,invest@digitalbrandsgroup.co,,"1400 Lavaca StreetAustin, TX 78701",https://ir.digitalbrandsgroup.co/company-information/contacts,67%,"52,870,000",25401N101,,100%,67%,1668010,,,,2023-12-20 01:46:36,,,,
DBGIW,Nasdaq,"Digital Brands Group, Inc.",VStock Transfer LLC,,,https://ir.digitalbrandsgroup.co/company-information/contacts,33%,invest@digitalbrandsgroup.co,,"1400 Lavaca StreetAustin, TX 78701",https://ir.digitalbrandsgroup.co/company-information/contacts,67%,"52,870,000",25401N119,,100%,67%,1668010,,,,2023-12-20 01:46:14,,,,
