Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
E,NYSE,ENI SPA,"Citibank, N.A. (ADS)",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,investor.relations@eni.com,39 02 520 516 51,"Piazza Ezio Vanoni, 1 - 20097San Donato Milanese (MI) - Italia",https://www.eni.com/en-IT/investors.html,100%,"3,571,490,000",26874R108,,100%,100%,1002242,,,✔,2023-12-20 02:01:00,,,,
EA,Nasdaq,ELECTRONIC ARTS INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Electronic Arts%22+%22transfer+agent%22,100%,ir@ea.com,,,"https://ir.ea.com/investor-resources/connect-with-us/default.aspx#:~:text=If%20you%20do%20not%20own,.computershare.com%2Finvestor.",33%,"278,050,000",285512109,,100%,78%,712515,,,,2023-02-27 04:13:53,,,,
EAC,Nasdaq,Edify Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1832765/000110465923009835/tm234729d1_def14a.htm,67%,,,,,0%,"27,600,000",28059Q103,,100%,56%,1832765,,,✔,2023-02-27 04:10:26,,,,
EACO,OTC,EACO CORP,,,,,0%,,,,,0%,,,,0%,0%,784539,,,,,,,,
EACPU,Nasdaq,Edify Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1832765/000110465923009835/tm234729d1_def14a.htm,67%,,,,,0%,,28059Q202,,50%,39%,1832765,,,✔,2023-02-27 04:10:26,,,,
EACPW,Nasdaq,Edify Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1832765/000110465923009835/tm234729d1_def14a.htm,67%,,,,,0%,,28059Q111,,50%,39%,1832765,,,✔,2023-02-27 04:10:26,,,,
EAD,NYSE,ALLSPRING INCOME OPPORTUNITIES FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1210123/000108140022000570/eadwrapper.htm,100%,,,,,0%,"60,250,000",94987B105,,100%,67%,1210123,,,✔,2023-02-27 04:10:26,,,,
EADSF,OTC,Airbus SE/ADR,,,,,0%,,,,,0%,,,,0%,0%,1378580,,,,,,,,
EADSY,OTC,Airbus SE/ADR,,,,,0%,,,,,0%,,,,0%,0%,1378580,,,,2024-07-18 03:36:31,,,,
EAF,NYSE,GRAFTECH INTERNATIONAL LTD,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/931148/000119312522098114/d230122ddef14a.htm,67%,investor.relations@graftech.com,1.216.676.2000,"982 Keynote Circle. Brooklyn Heights, Ohio, US",https://www.graftech.com/investors/default.aspx#connected,100%,"256,600,000",384313508,,100%,89%,931148,,,✔,2023-12-07 21:37:39,,,,
EAI,NYSE,"ENTERGY ARKANSAS, LLC",EQUINITI TRUST COMPANY,,,,33%,investorrelations@entergy.com,,"639 Loyola Ave., L-ENT-6E, New Orleans, LA 70113",https://investors.entergy.com/investors/contact-us/,67%,"16,400,000",29364D100,,100%,67%,7323,,,✔,2023-12-07 21:34:48,,,,
EAR,Nasdaq,Eargo Inc,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/1719395/000114036122033191/ny20004737x5_def14a.htm,100%,,,,,0%,"39,410,000",270087109,,100%,67%,1719395,,,✔,2023-02-27 04:13:47,,,,
EARN,NYSE,Ellington Credit Co," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1560672/000156067222000019/a2022proxystatement.htm,67%,info@earnreit.com,203-409-3773,"53 Forest AvenueOld Greenwich, CT 06780",https://www.earnreit.com/investor-contacts,100%,"13,080,000",288578107,,100%,89%,1560672,,,✔,2023-12-07 21:31:25,,,,
EAST,Nasdaq,"Eastside Distilling, Inc.",Transfer Online,,7816,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,ir@eastsidedistilling.com,(971) 888-4264,"2321 NORTHEAST ARGYLE STREET UNIT D, PORTLAND, OR, 97211, UNITED STATES",https://www.eastsidedistilling.com/investors,100%,"15,450,000",277802302,,100%,89%,1534708,,,✔,2023-12-07 21:31:06,,,,
EAT,NYSE,"BRINKER INTERNATIONAL, INC","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Brinker International%22+%22transfer+agent%22,100%,investor.relations@brinker.com,(972) 980-9917,,https://investors.brinker.com/shareholder-services/contact-ir,67%,"43,890,000",109641100,,100%,89%,703351,,,,2023-02-27 04:10:26,,,,
EAWD,OTC,Energy & Water Development Corp,,,,,0%,,,,,0%,,,,0%,0%,1563298,,,,,,,,
EAXR,OTC,"Ealixir, Inc.",,,,,0%,,,,,0%,,,,0%,0%,832370,,,,,,,,
EB,NYSE,"Eventbrite, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,investors@eventbrite.com,,"95 Third Street, 2nd Floor, San Francisco, CA 94103",https://investor.eventbrite.com/resources/ir-contacts/default.aspx,67%,"80,610,000",3E+113,,100%,89%,1475115,,,✔,2023-12-07 21:22:04,,,,
EBAC,Nasdaq,European Biotech Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,,33%,ebac@lspvc.com,,"Johannes Vermeerplein 9. Amsterdam, 1071,. Netherlands",https://www.lspvc.com/ebac,67%,"13,210,000",G3167F102,,100%,67%,1841258,,,✔,2023-12-07 21:18:58,,,,
EBACW,Nasdaq,European Biotech Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,,33%,ebac@lspvc.com,,"Johannes Vermeerplein 9. Amsterdam, 1071,. Netherlands",https://www.lspvc.com/ebac,67%,,G3167F128,,50%,50%,1841258,,,✔,2023-12-07 21:18:58,,,,
EBAY,Nasdaq,EBAY INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22eBay%22+%22transfer+agent%22,100%,ir@ebay.com,,,https://investors.ebayinc.com/contact-us-and-resources/faq/default.aspx,33%,"549,370,000",278642103,,100%,78%,1065088,,,,2023-02-27 04:10:26,,,,
EBBGF,OTC,ENBRIDGE INC,,,,,0%,,,,,0%,,,,0%,0%,895728,,,,,,,,
EBBNF,OTC,ENBRIDGE INC,,,,,0%,,,,,0%,,,,0%,0%,895728,,,,,,,,
EBC,Nasdaq,"Eastern Bankshares, Inc.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1810546/000162828022008076/ebcdef14a-definitiveproxys.htm,67%,InvestorRelations@easternbank.com,781-598-7920,"265 Franklin Street, Boston, Massachusetts",https://investor.easternbank.com/resources/investor-contacts/default.aspx,100%,"178,340,000",27627N105,,100%,89%,1810546,,,✔,2023-12-07 21:16:08,,,,
EBCOF,OTC,EBARA CORP /ADR/,,,,,0%,,,,,0%,,,,0%,0%,354518,,,,,,,,
EBCOY,OTC,EBARA CORP /ADR/,,,,,0%,,,,,0%,,,,0%,0%,354518,,,,,,,,
EBET,OTC,"EBET, Inc.",,,,,0%,,,,,0%,"16,450,000",278700109,,100%,33%,1829966,,,✔,2023-02-27 04:13:47,,,,
EBF,NYSE,"ENNIS, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/33002/000095017022010743/ebf-fy2022-def_14a.htm,100%,investor@ennis.com,(800) 752.5386,"2441 Presidential ParkwayMidlothian, Texas 76065",https://www.ennis.com/investor-relations-contact/,100%,"25,820,000",293389102,,100%,100%,33002,,,✔,2023-12-07 21:14:19,,,,
EBFI,OTC,"Eco Bright Future, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1919182,,,,,,,,
EBGEF,OTC,ENBRIDGE INC,,,,,0%,,,,,0%,,,,0%,0%,895728,,,,,,,,
EBIX,Nasdaq,Ebix Inc,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/814549/000110465922109688/tm2228064-1_def14.htm,100%,IR@ebix.com,1 678-281-2027,"1 Ebix Way, Johns Creek,GA 30097",https://www.ebix.com/investor-faq,100%,"30,910,000",278715206,,100%,100%,814549,,,✔,2023-12-07 21:11:38,,,,
EBIXQ,OTC,EBIX INC,,,,,0%,,,,,0%,,,,0%,0%,814549,,,,,,,,
