Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
F,NYSE,FORD MOTOR CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Ford Motor%22+%22transfer+agent%22,100%,fordir@ford.com,(800) 555-5259,,https://shareholder.ford.com/Investors/Information/contact-us/default.aspx#info-request,67%,"3,949,390,000",345370860,,100%,89%,37996,,,,2023-02-27 04:10:26,,,,
F-PB,NYSE,FORD MOTOR CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Ford Motor%22+%22transfer+agent%22,100%,fordir@ford.com,(800) 555-5259,,https://shareholder.ford.com/Investors/Information/contact-us/default.aspx#info-request,67%,,345370860,,50%,72%,37996,,,,2023-02-27 04:13:53,,,,
F-PC,NYSE,FORD MOTOR CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Ford Motor%22+%22transfer+agent%22,100%,fordir@ford.com,(800) 555-5259,,https://shareholder.ford.com/Investors/Information/contact-us/default.aspx#info-request,67%,,345370860,,50%,72%,37996,,,,2023-02-27 04:10:26,,,,
F-PD,NYSE,FORD MOTOR CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Ford Motor%22+%22transfer+agent%22,100%,fordir@ford.com,(800) 555-5259,,https://shareholder.ford.com/Investors/Information/contact-us/default.aspx#info-request,67%,,345370860,,50%,72%,37996,,,,2023-02-27 04:10:26,,,,
FA,Nasdaq,FIRST ADVANTAGE CORP,,,,,0%,,,,,0%,"153,240,000",31846B108,,100%,33%,1210677,,,✔,2023-02-27 04:10:26,,,,
FAAS,Nasdaq,DIGIASIA CORP.,,,,,0%,,,,,0%,,,,0%,0%,1844981,,,,,,,,
FAASW,Nasdaq,DIGIASIA CORP.,,,,,0%,,,,,0%,,,,0%,0%,1844981,,,,,,,,
FACA,NYSE,Figure Acquisition Corp. I,,,,,0%,,,,,0%,"28,750,000",302438106,,100%,33%,1839550,,,✔,2023-02-27 04:10:26,,,,
FACA-UN,NYSE,Figure Acquisition Corp. I,,,,,0%,,,,,0%,,,,0%,0%,1839550,,,✔,2023-02-27 04:10:26,,,,
FACT,Nasdaq,FACT II Acquisition Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1838987/000119312523033072/d447430ddef14a.htm,67%,ag@freedomac1.com,(212) 618-1798,"14 Wall Street, 20th Floor New York, NY 10005",https://www.businesswire.com/news/home/20230711825872/en/%C2%A0Freedom-Acquisition-I-Corp.-Shareholders-Approve-Previously-Announced-Business-Combination-with-Complete-Solaria-Inc.,100%,"34,500,000",G3663X110,,100%,89%,2028935,,,,2023-12-15 19:20:16,,,,
FACT,NYSE,Freedom Acquisition I Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1838987/000119312523033072/d447430ddef14a.htm,67%,ag@freedomac1.com,(212) 618-1798,"14 Wall Street, 20th Floor New York, NY 10005",https://www.businesswire.com/news/home/20230711825872/en/%C2%A0Freedom-Acquisition-I-Corp.-Shareholders-Approve-Previously-Announced-Business-Combination-with-Complete-Solaria-Inc.,100%,"34,500,000",G3663X110,,100%,89%,1838987,,,,2023-12-15 19:20:16,,,,
FACT-UN,NYSE,Freedom Acquisition I Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1838987/000119312523033072/d447430ddef14a.htm,67%,ag@freedomac1.com,(212) 618-1798,"14 Wall Street, 20th Floor New York, NY 10005",https://www.businesswire.com/news/home/20230711825872/en/%C2%A0Freedom-Acquisition-I-Corp.-Shareholders-Approve-Previously-Announced-Business-Combination-with-Complete-Solaria-Inc.,100%,,,,0%,56%,1838987,,,,2023-12-15 19:20:16,,,,
FACT-WT,NYSE,Freedom Acquisition I Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1838987/000119312523033072/d447430ddef14a.htm,67%,ag@freedomac1.com,(212) 618-1798,"14 Wall Street, 20th Floor New York, NY 10005",https://www.businesswire.com/news/home/20230711825872/en/%C2%A0Freedom-Acquisition-I-Corp.-Shareholders-Approve-Previously-Announced-Business-Combination-with-Complete-Solaria-Inc.,100%,,,,0%,56%,1838987,,,,2023-12-15 19:20:16,,,,
FACTU,Nasdaq,FACT II Acquisition Corp.,,,,,,,,,,,,,,,,2028935,,,,,,,,
FAF,NYSE,First American Financial Corp,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.google.com/search?q=%22First American Financial%22+%22transfer+agent%22,100%,investor.relations@firstam.com,(714) 250-5214,"1 First American Way, Santa Ana, CA 92707",https://investors.firstam.com/investors/investor-resources/contact/default.aspx,100%,"104,160,000",31847R102,,100%,100%,1472787,,,,2023-12-20 11:38:52,,,,
FALC,OTC,FALCONSTOR SOFTWARE INC,,,,,0%,,,,,0%,,,,0%,0%,922521,,,,,,,,
FAM,NYSE,FIRST TRUST/ABRDN GLOBAL OPPORTUNITY INCOME FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1276469/000144554623001785/defin_proxy.htm,100%,Investor.Relations@abrdn.com,(800) 522-5465,"abrdn 1900 Market Street Suite 200 Philadelphia, PA 19103",https://www.abrdn.com/en-us/cefinvestorcenter/contact-us,100%,"10,140,000",337319107,,100%,100%,1302624,,,,2023-12-20 11:28:37,,,,
FAMI,Nasdaq,"Farmmi, Inc.",Island Stock Transfer,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,,,,,0%,"23,910,000",G33277123,,100%,44%,1701261,,,✔,2023-02-27 04:10:26,,,,
FANG,Nasdaq,"Diamondback Energy, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Diamondback Energy%22+%22transfer+agent%22,100%,ir@diamondbackenergy.com,(858) 200-0200,,,67%,"177,840,000",25278X109,,100%,89%,1539838,,,,2023-02-27 04:10:26,,,,
FANH,Nasdaq,FANHUA INC.,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,,,,,0%,"1,074,290,000",30712A103,,100%,67%,1413855,,,✔,2023-02-27 04:10:26,,,,
FANUF,OTC,Fanuc Ltd,,,,,0%,,,,,0%,,,,0%,0%,1446596,,,,,,,,
FANUY,OTC,Fanuc Ltd,,,,,0%,,,,,0%,,,,0%,0%,1446596,,,,,,,,
FARM,Nasdaq,FARMER BROTHERS CO,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,investor.relations@farmerbros.com,(682) 549-6600,"1912 Farmer Brothers Drive Northlake, TX 76226",https://farmerbrothers.gcs-web.com/ir-resources/contacts,100%,"18,830,000",307675108,,100%,100%,34563,,,✔,2023-12-15 19:18:51,,,,
FARO,Nasdaq,FARO TECHNOLOGIES INC,FIRSTAR Trust Co.,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,,,,,0%,"18,770,000",311642102,,100%,44%,917491,,,✔,2023-02-27 04:10:26,,,,
FAST,Nasdaq,FASTENAL CO,EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22Fastenal%22+%22transfer+agent%22,100%,investorrelations@fastenal.com,(507) 453.8775,"2001 Theurer Boulevard Winona, MN 55987",https://investor.fastenal.com/investor-resources/investor-faqs/default.aspx,100%,"574,680,000",311900104,,100%,100%,815556,,,,2023-12-20 11:36:56,,,,
