Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
G,NYSE,Genpact LTD,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1398659/000114036122013403/ny20001835x1_def14a.htm,100%,,,,,0%,"183,480,000",G3922B107,,100%,67%,1398659,,,✔,2023-02-27 04:13:49,,,,
GAB,NYSE,GABELLI EQUITY TRUST INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/794685/000114036122010916/app10030974x1_def14a.htm,100%,,,,,0%,"291,800,000",362397101,,100%,67%,794685,,,✔,2023-02-27 04:10:26,,,,
GAB-PG,NYSE,GABELLI EQUITY TRUST INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/794685/000114036122010916/app10030974x1_def14a.htm,100%,,,,,0%,,,,0%,33%,794685,,,✔,2023-02-27 04:10:26,,,,
GAB-PH,NYSE,GABELLI EQUITY TRUST INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/794685/000114036122010916/app10030974x1_def14a.htm,100%,,,,,0%,,,,0%,33%,794685,,,✔,2023-02-27 04:10:26,,,,
GAB-PK,NYSE,GABELLI EQUITY TRUST INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/794685/000114036122010916/app10030974x1_def14a.htm,100%,,,,,0%,,,,0%,33%,794685,,,✔,2023-02-27 04:10:26,,,,
GABC,Nasdaq,"GERMAN AMERICAN BANCORP, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,terri.eckerle@germanamerican.com,(812) 482-0703,"711 Main Street, Jasper, IN 47546",https://ir.germanamerican.com/corporate-profile/corporate-overview/default.aspx,100%,"29,480,000",373865104,,100%,100%,714395,,,✔,2023-11-24 01:00:04,,,,
GACQ,Nasdaq,Global Consumer Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,,33%,IR@globalconsumercorp.com,1-800-955-8380,,https://www.globenewswire.com/en/news-release/2022/09/07/2512035/0/en/Global-Consumer-Acquisition-Corp-Announces-Intent-to-Extend-Deadline-to-Complete-Business-Combination.html,67%,"23,280,000",37892B108,,100%,67%,1846288,,,✔,2023-11-24 00:58:14,,,,
GACQW,Nasdaq,Global Consumer Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,,33%,IR@globalconsumercorp.com,1-800-955-8380,,https://www.globenewswire.com/en/news-release/2022/09/07/2512035/0/en/Global-Consumer-Acquisition-Corp-Announces-Intent-to-Extend-Deadline-to-Complete-Business-Combination.html,67%,,37892B116,,50%,50%,1846288,,,✔,2023-10-30 17:36:44,,,,
GACW,OTC,GACW Inc,,,,,0%,,,,,0%,,,,0%,0%,1872421,,,,,,,,
GAERF,OTC,Central North Airport Group,,,,,0%,,,,,0%,,,,0%,0%,1378239,,,,,,,,
GAFC,OTC,Guru App Factory Corp,,,,,0%,,,,,0%,,,,0%,0%,1989788,,,,,,,,
GAHC,OTC,"Global Arena Holding, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1138724,,,,,,,,
GAIA,Nasdaq,"GAIA, INC",BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,GAIA@gateway-grp.com,949-574-3860,,https://ir.gaia.com/company-information/contacts,67%,"15,410,000",36269P104,,100%,67%,1089872,,,✔,2023-11-24 00:55:15,,,,
GAIN,Nasdaq,GLADSTONE INVESTMENT CORPORATIONDE,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1321741/000119312522176046/d302099ddef14a.htm,100%,investment@gladstonecompanies.com,703-287-5893,"1521 Westbranch Drive, Suite 100, McLean, VA 22102",https://www.gladstoneinvestment.com/investors/company-information/contacts,100%,"33,210,000",376546107,,100%,100%,1321741,,,✔,2023-11-24 00:53:46,,,,
GAIN,Nasdaq,GLADSTONE INVESTMENT CORPORATION\DE,,,,,,,,,,,,,,,,1321741,,,,,,,,
GAINL,Nasdaq,GLADSTONE INVESTMENT CORPORATIONDE,,,,,0%,,,,,0%,,,,0%,0%,1321741,,,,,,,,
GAINL,Nasdaq,GLADSTONE INVESTMENT CORPORATION\DE,,,,,,,,,,,,,,,,1321741,,,,,,,,
GAINN,Nasdaq,GLADSTONE INVESTMENT CORPORATIONDE,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1321741/000119312522176046/d302099ddef14a.htm,67%,investment@gladstonecompanies.com,703-287-5893,"1521 Westbranch Drive, Suite 100, McLean, VA 22102",https://www.gladstoneinvestment.com/investors/company-information/contacts,100%,,376546800,,50%,72%,1321741,,,✔,2023-11-24 00:53:13,,,,
GAINN,Nasdaq,GLADSTONE INVESTMENT CORPORATION\DE,,,,,,,,,,,,,,,,1321741,,,,,,,,
GAINZ,Nasdaq,GLADSTONE INVESTMENT CORPORATIONDE,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1321741/000119312522176046/d302099ddef14a.htm,67%,investment@gladstonecompanies.com,703-287-5893,"1521 Westbranch Drive, Suite 100, McLean, VA 22102",https://www.gladstoneinvestment.com/investors/company-information/contacts,100%,"5,380,000",376546883,,100%,89%,1321741,,,✔,2023-10-30 17:30:19,,,,
GAINZ,Nasdaq,GLADSTONE INVESTMENT CORPORATION\DE,,,,,,,,,,,,,,,,1321741,,,,,,,,
GALE,,Galleinphi Inc.,,,,,0%,,,,,0%,,,,0%,0%,2004906,,,,,,,,
GALT,Nasdaq,GALECTIN THERAPEUTICS INC,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,ir@galectintherapeutics.com,(678) 620-3186,,https://investor.galectintherapeutics.com/news-releases/news-release-details/galectin-therapeutics-reports-financial-results-quarter-ended-8,67%,"59,400,000",363225202,,100%,78%,1133416,,,✔,2023-11-24 00:49:41,,,,
GAM,NYSE,GENERAL AMERICAN INVESTORS CO INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/40417/000138713122002245/gam-def14a_042022.htm,100%,InvestorRelations@gainv.com,800-436-8401,"530 Fifth Avenue-26th Floor, New York, New York 10036",https://generalamericaninvestors.com/additional-info/investor-information,100%,"24,350,000",368802104,,100%,100%,40417,,,,2023-11-24 00:52:01,,,,
GAM-PB,NYSE,GENERAL AMERICAN INVESTORS CO INC," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/40417/000138713122002245/gam-def14a_042022.htm,67%,InvestorRelations@gainv.com,800-436-8401,"530 Fifth Avenue-26th Floor, New York, New York 10036",https://generalamericaninvestors.com/additional-info/investor-information,100%,,,,0%,56%,40417,,,,2023-09-17 20:38:32,,,,
