Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
H,NYSE,Hyatt Hotels Corp,EQUINITI TRUST COMPANY,,7806/7835,https://www.google.com/search?q=%22Hyatt Hotels%22+%22transfer+agent%22,67%,investorrelations@hyatt.com,(312) 750-1234,,https://investors.hyatt.com/investor-relations/investor-resources/contact-information/default.aspx,67%,"50,110,000",448579102,,100%,78%,1468174,,,,2023-02-27 04:13:49,,,,
HA,Nasdaq,HAWAIIAN HOLDINGS INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://newsroom.hawaiianairlines.com/investor-relations,100%,investor.relations@hawaiianair.com,808-835-3700,"3375 Koapaka St Ste G350 Honolulu, HI, 96819-1804 United States",https://newsroom.hawaiianairlines.com/investor-relations,100%,"51,390,000",419879101,,100%,100%,1172222,,,,2023-12-22 23:37:38,,,,
HAE,NYSE,HAEMONETICS CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://haemonetics.gcs-web.com/investor-resources/contact-ir,33%,olga.guyette@haemonetics.com,1 (781) 356 9763,"125 Summer Street, Boston, MA 02110, USA",https://haemonetics.gcs-web.com/investor-resources/contact-ir,100%,"51,320,000",405024100,,100%,78%,313143,,,,2023-12-22 23:36:48,,,,
HAFC,Nasdaq,HANMI FINANCIAL CORP,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,lclark@finprofiles.com,213-427-5636,"900 Wilshire Boulevard, Suite 1250, Los Angeles, CA 90017",https://investors.hanmi.com,100%,"30,490,000",410495204,,100%,100%,1109242,,,,2023-12-22 23:34:32,,,,
HAFG,OTC,"Holistic Asset Finance Group Co., Ltd.",,,,,,,,,,,,,,,,1367993,,,,,,,,
HAFN,NYSE,Hafnia Ltd,,,,,0%,,,,,0%,,,,0%,0%,1815779,,,,,,,,
HAHA,,Harden Technologies Inc.,,,,,0%,,,,,0%,,,,0%,0%,1873723,,,,,,,,
HAIA,Nasdaq,Healthcare AI Acquisition Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,33%,patrick@stanley-capital.com,(345) 815 8548,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008, Cayman Islands",https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,100%,"21,560,000",G4373K109,,100%,78%,1848861,,,,2023-12-22 21:18:15,,,,
HAIAU,Nasdaq,Healthcare AI Acquisition Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,33%,patrick@stanley-capital.com,(345) 815 8548,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008, Cayman Islands",https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,100%,,G4373K125,,50%,61%,1848861,,,,2023-12-22 21:18:16,,,,
HAIAW,Nasdaq,Healthcare AI Acquisition Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,33%,patrick@stanley-capital.com,(345) 815 8548,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008, Cayman Islands",https://www.sec.gov/Archives/edgar/data/1848861/000156459021057676/cik1848861-s1.htm,100%,,G4373K117,,50%,61%,1848861,,,,2023-12-22 21:18:17,,,,
HAIN,Nasdaq,HAIN CELESTIAL GROUP INC,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/910406/000119312522259594/d361320ddef14a.htm,67%,,,,,0%,"89,300,000",405217100,,100%,56%,910406,,,,2023-02-27 04:10:26,,,,
HAL,NYSE,HALLIBURTON CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Halliburton%22+%22transfer+agent%22,100%,investors@halliburton.com,(888) 669-3920,,https://ir.halliburton.com/shareholder-services/contact-ir,67%,"906,940,000",406216101,,100%,89%,45012,,,,2023-02-27 04:13:44,,,,
