Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
IAA,NYSE,"IAA, Inc. [Merge into Richie Brothers]","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,,33%,srathod@ritchiebros.com,1.510.381.7584,,https://investor.rbglobal.com/resources/investor-contacts/default.aspx,67%,"133,750,000",449253103,,100%,67%,1745041,,,✔,2023-11-22 23:43:08,,,,
IAALF,OTC,IBC Advanced Alloys Corp.,,,,,0%,,,,,0%,,,,0%,0%,1450894,,,,,,,,
IAC,Nasdaq,IAC Inc.,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22IAC%22+%22transfer+agent%22,100%,ir@iac.com,(212) 314-7400,,https://ir.iac.com/investor-faqs,67%,"83,400,000",44891N208,,100%,89%,1800227,,,,2023-02-27 04:10:26,,,,
IAE,NYSE,Voya Asia Pacific High Dividend Equity Income Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"11,900,000",92912J102,,100%,67%,1385632,,,✔,2023-02-27 04:10:26,,,,
IAF,NYSE,"ABRDN AUSTRALIA EQUITY FUND, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,Investor.Relations@abrdn.com,(800) 522-5465,"abrdn 1900 Market Street Suite 200 Philadelphia, PA 19103",https://www.abrdn.com/en-us/cefinvestorcenter/contact-us,100%,"23,300,000",3011103,,100%,100%,779336,,,,2023-12-20 11:28:12,,,,
IAG,NYSE,IAMGOLD CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",,,,33%,info@iamgold.com,1 416 360 4743,,https://www.iamgold.com/English/contact-us/default.aspx,67%,"479,000,000",450913108,,100%,67%,1203464,,,✔,2023-11-22 23:35:01,,,,
IART,Nasdaq,INTEGRA LIFESCIENCES HOLDINGS CORP,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,ir@integralife.com,609-275-0500,"1100 Campus Road, Princeton, NJ 08540",https://investor.integralife.com/contact-us,100%,"83,500,000",457985208,,100%,78%,917520,,,✔,2023-11-22 23:29:36,,,,
IAS,Nasdaq,INTEGRAL AD SCIENCE HOLDING CORP.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,,33%,ir@integralads.com,,,https://investors.integralads.com/resources/investor-contact,33%,"155,750,000",45828L108,,100%,56%,1842718,,,✔,2023-11-22 23:26:24,,,,
IAU,NYSE,ISHARES GOLD TRUST,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,invrel@blackrock.com,(212) 810-5300,"55 East 52nd Street New York, NY 10055-0003",,100%,"823,850,000",464285204,,100%,100%,1278680,,,,2023-11-24 13:00:36,,,,
IAUM,NYSE,iShares Gold Trust Micro,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,invrel@blackrock.com,(212) 810-5300,"55 East 52nd Street New York, NY 10055-0003",,100%,"60,400,000",46436F103,,100%,100%,1759124,,,,2023-11-24 13:00:30,,,,
