Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
J,NYSE,JACOBS SOLUTIONS INC.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.google.com/search?q=%22Jacobs Engineering Group%22+%22transfer+agent%22,100%,investor.relations@jacobs.com,,,https://invest.jacobs.com/events-and-presentations/events/event-details/2022/Jacobs-New-Holding-Company-Jacobs-Solutions-Inc/default.aspx,33%,"127,610,000",46982L108,,100%,78%,52988,,,,2023-02-27 04:10:26,,,,
J-WI,NYSE,JACOBS SOLUTIONS INC.,,,,,0%,,,,,0%,,,,0%,0%,52988,,,,,,,,
JACK,Nasdaq,JACK IN THE BOX INC,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/807882/000114036123003306/ny20005459x1_def14a.htm,100%,chris.brandon@jackinthebox.com,619.902.0269,"9357 SPECTRUM CENTER BLVD, SAN DIEGO, CA, 92123-1516",https://jakkspacificinc.gcs-web.com/investor-faqs,100%,"21,060,000",466367109,,100%,100%,807882,,,,2023-12-24 06:58:26,,,,
JACS,NYSE,Jackson Acquisition Co II,,,,,0%,,,,,0%,,,,0%,0%,2039058,,,,,,,,
JACS-UN,NYSE,Jackson Acquisition Co II,,,,,,,,,,,,,,,,2039058,,,,,,,,
JAG,,Job Aire Group Inc.,,,,,0%,,,,,0%,,,,0%,0%,2009460,,,,,,,,
JAGL,OTC,JAAG Enterprises Ltd.,,,,,0%,,,,,0%,,,,0%,0%,1951051,,,,,,,,
JAGX,Nasdaq,"Jaguar Health, Inc."," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1585608/000110465922122433/tm2229955-3_def14a.htm,67%,,,,,0%,"79,000,000",47010C607,,100%,56%,1585608,,,✔,2023-02-27 04:10:26,,,,
JAKK,Nasdaq,JAKKS PACIFIC INC,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1009829/000118518522001326/jakkspacif20221116_def14a.htm,67%,publicrelations@jakks.net,424-268-9444,"2951 28TH STREET, SANTA MONICA, CA, 90405",https://jakkspacificinc.gcs-web.com/investor-faqs,100%,"9,720,000",47012E403,,100%,89%,1009829,,,,2023-12-24 06:48:59,,,,
JAMF,Nasdaq,Jamf Holding Corp.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,,,,,0%,"120,690,000",47074L105,,100%,56%,1721947,,,✔,2023-02-27 04:10:26,,,,
