Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
K,NYSE,KELLANOVA,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.google.com/search?q=%22Kellogg%22+%22transfer+agent%22,100%,investor.relations@kellogg.com,(269) 961-2800,,https://investor.kelloggs.com/resources/contact-us/default.aspx,67%,"340,110,000",487836108,,100%,89%,55067,,,,2023-02-27 04:10:26,,,,
KA,Nasdaq,"KINETA, INC./DE",,,,,0%,,,,,0%,,,,0%,0%,1445283,,,,2023-02-27 04:10:26,,,,
KACL,Nasdaq,Kairous Acquisition Corp. Ltd,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1865468/000149315222032020/formdef14a.htm,67%,ir@kairous.com,603-7733-9340,"UNIT 9-3, OVAL TOWER @ DAMANSARA, NO.685, JALAN DAMANSARA, 60000 TAMAN TUN DR., KUALA LUMPUR, Malaysia, 00000",https://www.nasdaq.com/press-release/kairous-acquisition-corp.-limited-pricing-of-$75-million-initial-public-offering-2021,100%,"10,150,000",G52131110,,100%,89%,1865468,,,,2024-01-04 17:40:51,,,,
KACLR,Nasdaq,Kairous Acquisition Corp. Ltd,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1865468/000149315222032020/formdef14a.htm,67%,ir@kairous.com,603-7733-9340,"UNIT 9-3, OVAL TOWER @ DAMANSARA, NO.685, JALAN DAMANSARA, 60000 TAMAN TUN DR., KUALA LUMPUR, Malaysia, 00000",https://www.nasdaq.com/press-release/kairous-acquisition-corp.-limited-pricing-of-$75-million-initial-public-offering-2021,100%,,G52131136,,50%,72%,1865468,,,,2024-01-04 17:42:33,,,,
KACLU,Nasdaq,Kairous Acquisition Corp. Ltd,,,,,0%,,,,,0%,,,,0%,0%,1865468,,,,,,,,
KACLW,Nasdaq,Kairous Acquisition Corp. Ltd,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1865468/000149315222032020/formdef14a.htm,67%,ir@kairous.com,603-7733-9340,"UNIT 9-3, OVAL TOWER @ DAMANSARA, NO.685, JALAN DAMANSARA, 60000 TAMAN TUN DR., KUALA LUMPUR, Malaysia, 00000",https://www.nasdaq.com/press-release/kairous-acquisition-corp.-limited-pricing-of-$75-million-initial-public-offering-2021,100%,,G52131128,,50%,72%,1865468,,,,2024-01-04 17:42:33,,,,
KAI,NYSE,KADANT INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/886346/000088634622000074/a2022kaidefinitiveproxysta.htm,100%,mike.mckenney@kadant.com,(978) 776-2000,"ONE TECHNOLOGY PARK DRIVE, WESTFORD, MA, 01886",https://investor.kadant.com/investor-faq/frequently-asked-questions,100%,"11,660,000",48282T104,,100%,100%,886346,,,,2023-12-24 03:36:52,,,,
KAII,Nasdaq,Kismet Acquisition Two Corp,,,,,0%,,,,,0%,"23,000,000",G52807107,,100%,33%,1825962,,,,2023-02-27 04:10:26,,,,
KAIIU,Nasdaq,Kismet Acquisition Two Corp,,,,,0%,,,,,0%,,G52807123,,50%,17%,1825962,,,,2023-02-27 04:10:26,,,,
KAIIW,Nasdaq,Kismet Acquisition Two Corp,,,,,0%,,,,,0%,,G52807115,,50%,17%,1825962,,,,2023-02-27 04:10:26,,,,
KAIKY,OTC,Kawasaki Kisen Kaisha Ltd,,,,,0%,,,,,0%,,,,0%,0%,1447126,,,,,,,,
KAIR,Nasdaq,Kairos Acquisition Corp,,,,,0%,,,,,0%,27600000,G52110114,,100%,33%,1824171,,,,2023-02-27 04:10:26,,,,
KAIRU,Nasdaq,Kairos Acquisition Corp,,,,,0%,,,,,0%,,G52110122,,50%,17%,1824171,,,,2023-02-27 04:10:26,,,,
KAIRW,Nasdaq,Kairos Acquisition Corp,,,,,0%,,,,,0%,,G52110106,,50%,17%,1824171,,,,2023-02-27 04:10:26,,,,
KAKKF,OTC,Kawasaki Kisen Kaisha Ltd,,,,,0%,,,,,0%,,,,0%,0%,1447126,,,,,,,,
KAL,Nasdaq,Kalera Public Limited Company,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1909152/000149315222032585/formdef14a.htm,67%,,,,,0%,"23,680,000",G52251108,,100%,56%,1909152,,,,2023-02-27 04:10:26,,,,
KALA,Nasdaq,"KALA BIO, Inc."," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1479419/000155837023003570/tmb-20230424xdef14a.htm,67%,hannah.deresiewicz@sternir.com,781-996-5252,"1167 MASSACHUSETTS AVENUE, ARLINGTON, MA, 02476",https://investors.kalarx.com/,100%,"73,210,000",483119103,,100%,89%,1479419,,,,2023-12-24 03:29:51,,,,
KALO,OTC,Kallo Inc.,,,,,0%,,,,,0%,,,,0%,0%,1389034,,,,,,,,
KALRQ,OTC,Kalera Public Ltd Co,,,,,0%,,,,,0%,,,,0%,0%,1909152,,,,,,,,
KALU,Nasdaq,KAISER ALUMINUM CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Kaiser Aluminum%22+%22transfer+agent%22,100%,investors@kaiseraluminum.com,(310) 829-5400,"250 Royall Street, Canton, MA 02021",https://investors.kaiseraluminum.com/investors/resources/investor-contacts/default.aspx,100%,"15,940,000",483007704,,100%,100%,811596,,,,2024-01-04 17:45:31,,,,
KALV,Nasdaq,"KalVista Pharmaceuticals, Inc."," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1348911/000119312522226471/d378074ddef14a.htm,67%,ir@kalvista.com,(857) 999-0075,"55 CAMBRIDGE PARKWAY, SUITE 901E, CAMBRIDGE, MA, 02142",https://ir.kalvista.com/ir-contacts,100%,"24,600,000",483497103,,100%,89%,1348911,,,,2023-12-24 03:26:18,,,,
KALWW,Nasdaq,Kalera Public Limited Company,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1909152/000149315222032585/formdef14a.htm,67%,,,,,0%,,G52251116,,50%,39%,1909152,,,,2023-02-27 04:10:26,,,,
KAMN,NYSE,Kaman Corporation,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/54381/000005438123000024/kamn-20230303.htm,100%,Kary.Bare@kaman.com,860-243-7485,"1332 Blue Hills Avenue, Bloomfield, CT 06002",https://kaman.com/kaman-corporation-completes-acquisition-of-the-parker-hannifin-aircraft-wheel-brake-division-2/,100%,"28,010,000",483548103,,100%,100%,54381,,,,2024-01-04 17:47:02,,,,
KANP,OTC,KAANAPALI LAND LLC,,,,,0%,,,,,0%,,,,0%,0%,1230058,,,,,,,,
KANT,OTC,"KINETA, INC./DE",,,,,0%,,,,,0%,,,,0%,0%,1445283,,,,,,,,
KAPA,NYSE,"Kairos Pharma, LTD.",,,,,0%,,,,,0%,,,,0%,0%,1962011,,,,,,,,
KAR,NYSE,"OPENLANE, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",No,7805/7810,https://www.google.com/search?q=%22Kar Auction Services%22+%22transfer+agent%22,100%,mike.eliason@karauctionservices.com,(317) 249-4559,"13085 Hamilton Crossing Boulevard, Carmel, Indiana 46032",https://ir.karglobal.com/investor-relations/resources/faqs/default.aspx,100%,"115,830,000",48238T109,,100%,100%,1395942,,,,2024-01-04 17:54:44,,,,
KARO,Nasdaq,Karooooo Ltd.,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://www.sec.gov/Archives/edgar/data/1828102/000110465921029334/tm2034233-5_f1.htm,33%,IR@karooooo.com,65 6255 4151,"363 SMITH STREET, #05-303, NEW BRIDGE CENTRE, Singapore, 050336",https://www.karooooo.com/#about,100%,"30,950,000",Y4600W108,,100%,78%,1828102,,,,2023-12-24 03:15:07,,,,
KARX,OTC,Karbon-X Corp.,,,,,0%,,,,,0%,,,,0%,0%,1729637,,,,,,,,
KATX,OTC,"KAT EXPLORATION, INC.",,,,,0%,,,,,0%,,,,0%,0%,1474558,,,,,,,,
KAVL,Nasdaq,"Kaival Brands Innovations Group, Inc.",VStock Transfer LLC,,,"https://www.prnewswire.com/news-releases/kaival-brands-otcqb-kavl-implements-reverse-stock-split-to-meet-nasdaq-initial-listing-requirements-301334157.html#:~:text=Shareholders%20will%20receive%20an%20information,(212)%20828-8436.",33%,investors@kaivalbrands.com,1 (833) 452-4825,"4460 OLD DIXIE HIGHWAY, GRANT-VALKARIA, FL, 32949",https://ir.kaivalbrands.com/resources/investor-contacts/default.aspx,100%,"56,170,000",483104204,,100%,78%,1762239,,,,2023-12-24 03:12:56,,,,
KAYS,OTC,"Kaya Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1530746,,,,,,,,
KB,NYSE,KB Financial Group Inc.,EQUINITI TRUST COMPANY,Yes,7806/7835,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,kbir@kbfg.com,822-2073-2845,"141, UISADANG-DAERO, YEONGDEUNGPO-GU, SEOUL, Korea, Republic of, 07332",https://kbfg.com/Eng/ir/main/ir_main.jsp,100%,"408,900,000",48241A105,,100%,100%,1445930,,,,2023-12-24 03:11:41,,,,
KBAL,Nasdaq,Kimball International Inc,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.sec.gov/Archives/edgar/data/55772/000005577222000106/kbalproxyfy2022def.htm,100%,Investor.relations@kimballelectronics.com,8124821600,"1600 ROYAL ST, JASPER, IN, 47546-2256",https://investors.kimballelectronics.com/overview/default.aspx,100%,"36,600,000",494274103,,100%,100%,55772,,,,2023-12-24 03:10:53,,,,
KBDC,NYSE,"Kayne Anderson BDC, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1747172,,,,,,,,
KBH,NYSE,KB HOME,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22KB Home%22+%22transfer+agent%22,100%,investorrelations@kbhome.com,(310) 231-4000,"10990 WILSHIRE BLVD, LOS ANGELES, CA, 90024",https://investor.kbhome.com/home/default.aspx,100%,"87,170,000",48666K109,,100%,100%,795266,,,,2024-01-04 17:53:28,,,,
