Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
L,NYSE,LOEWS CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Loews%22+%22transfer+agent%22,100%,IR@loews.com,(212) 521-2000,,https://ir.loews.com/contact-information/,67%,"240,950,000",540424108,,100%,89%,60086,,,,2023-02-27 04:10:26,,,,
LAAB,,"Startech Labs, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1584480,,,,,,,,
LAAC,NYSE,Lithium Americas (Argentina) Corp.,,,,,0%,,,,,0%,,,,0%,0%,1440972,,,,,,,,
LAAOF,OTC,Li Auto Inc.,,,,,0%,,,,,0%,,,,0%,0%,1791706,,,,,,,,
LAB,Nasdaq,STANDARD BIOTOOLS INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1162194/000116219422000050/fldm2022proxystatement.htm,67%,ir@standardbio.com,,,https://investors.standardbio.com/contact-investor,33%,"78,660,000",34385P108,,100%,67%,1162194,,,,2023-11-21 06:35:36,,,,
LABP,Nasdaq,Landos Biopharma Inc,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,7824,https://www.sec.gov/Archives/edgar/data/1785345/000119312522127596/d356025ddef14a.htm,67%,ir@landosbiopharma.com,,,https://ir.landosbiopharma.com/news-releases/news-release-details/landos-biopharma-provides-business-update-reports-second-quarter,33%,"40,260,000",515069102,,100%,67%,1785345,,,,2023-09-17 19:36:52,,,,
LAC,NYSE,LITHIUM AMERICAS CORP.,"COMPUTERSHARE TRUST COMPANY, N.A.",,,,33%,ir@lithiumamericas.com,,,https://www.lithiumamericas.com/investors/,33%,"134,600,000",53680Q207,,100%,56%,1966983,,,,2023-11-21 06:39:31,,,,
LAC,NYSE,Lithium Americas Corp.,"COMPUTERSHARE TRUST COMPANY, N.A.",,,,33%,ir@lithiumamericas.com,,,https://www.lithiumamericas.com/investors/,33%,"134,600,000",53680Q207,,100%,56%,1440972,,,,2023-11-21 6:39:31,,,,
LAD,NYSE,LITHIA MOTORS INC,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,No,7824,https://www.google.com/search?q=%22Lithia Motors%22+%22transfer+agent%22,100%,,,,,0%,"27,530,000",536797103,,100%,67%,1023128,,,,2023-02-27 04:10:26,,,,
LADR,NYSE,Ladder Capital Corp," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1577670/000157767022000009/ladr2022def14a.htm,67%,investor.relations@laddercapital.com,(917) 369-3207,,https://ir.laddercapital.com/overview/default.aspx,67%,"126,830,000",505743104,,100%,78%,1577670,,,,2023-11-21 06:34:59,,,,
LADX,OTC,LadRx Corp,,,,,0%,,,,,0%,,,,0%,0%,799698,,,,,,,,
LAES,Nasdaq,SEALSQ Corp,,,,,0%,,,,,0%,,,,0%,0%,1951222,,,,,,,,
LAKE,Nasdaq,LAKELAND INDUSTRIES INC,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,LAKE@alpha-ir.com,312-445-2870,,https://ir.lakeland.com/,67%,"7,520,000",511795106,,100%,67%,798081,,,,2023-09-17 19:33:02,,,,
