Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
M,NYSE,"Macy's, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Macy's%22+%22transfer+agent%22,100%,investors@macys.com,(212) 494-1621,,https://www.macysinc.com/investors/investor-resources/contacts/default.aspx,67%,"270,990,000",55616P104,,100%,89%,794367,,,✔,2023-11-20 16:27:26,,,,
MA,NYSE,Mastercard Inc,EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22Mastercard%22+%22transfer+agent%22,100%,investor.relations@mastercard.com,(914) 249-4565,,https://investor.mastercard.com/stock-information/class-b-common-stock-information/default.aspx,67%,"958,680,000",57636Q104,,100%,89%,1141391,,,,2023-02-27 04:10:26,,,,
MAA,NYSE,"Mid-America Apartments, L.P.",BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,7824,https://www.sec.gov/Archives/edgar/data/912595/000114036122012923/ny20003557x1_def14a.htm,67%,,,,,0%,"115,440,000",59522J103,,100%,56%,1581776,,,✔,2023-02-27 04:10:26,,,,
MAA,NYSE,MID AMERICA APARTMENT COMMUNITIES INC.,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,7824,https://www.sec.gov/Archives/edgar/data/912595/000114036122012923/ny20003557x1_def14a.htm,67%,,,,,0%,"115,440,000",59522J103,,100%,56%,912595,,,✔,2023-02-27 4:10:26,,,,
MAA-PI,NYSE,MID AMERICA APARTMENT COMMUNITIES INC.,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,7824,https://www.sec.gov/Archives/edgar/data/912595/000114036122012923/ny20003557x1_def14a.htm,67%,,,,,0%,,,,0%,22%,912595,,,✔,2023-02-27 04:10:26,,,,
MAAI,,MID AMERICA APARTMENT COMMUNITIES INC.,,,,,0%,,,,,0%,,,,0%,0%,912595,,,,,,,,
MAC,NYSE,MACERICH CO,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/912242/000119312522106714/d311344ddef14a.htm,100%,,,,,0%,"214,780,000",554382101,,100%,67%,912242,,,✔,2023-02-27 04:10:26,,,,
MACA,Nasdaq,Moringa Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1835416/000121390023001158/ea170951-def14a_moringa.htm,67%,,,,,0%,"11,980,000",G6S23K108,,100%,56%,1835416,,,✔,2023-02-27 04:10:26,,,,
MACAU,Nasdaq,Moringa Acquisition Corp,,,,,0%,,,,,0%,,G6S23K116,,50%,17%,1835416,,,✔,2023-02-27 04:10:26,,,,
MACAW,Nasdaq,Moringa Acquisition Corp,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1835416/000121390023001158/ea170951-def14a_moringa.htm,67%,,,,,0%,,G6S23K124,,50%,39%,1835416,,,✔,2023-02-27 04:10:26,,,,
MACE,OTC,MACE SECURITY INTERNATIONAL INC,,,,,0%,,,,,0%,,,,0%,0%,912607,,,,,,,,
MACI,Nasdaq,Melar Acquisition Corp. I/Cayman,,,,,0%,,,,,0%,,,,0%,0%,2016221,,,,,,,,
MACIU,Nasdaq,Melar Acquisition Corp. I/Cayman,,,,,0%,,,,,0%,,,,0%,0%,2016221,,,,,,,,
MACIW,Nasdaq,Melar Acquisition Corp. I/Cayman,,,,,0%,,,,,0%,,,,0%,0%,2016221,,,,,,,,
