Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
NA,Nasdaq,Nano Labs Ltd,"Citibank, N.A. (ADS)",,,,33%,tina.xiao@ascent-ir.com,1-917-609-0333,,https://ir.nano.cn/contact/contact-ir,67%,"50,150,000",63011A102,,100%,67%,1872302,,,,2023-12-20 02:02:19,,,,
NAAC,Nasdaq,North Atlantic Acquisition Corp,,,,,0%,,,,,0%,"37,950,000",G66139109,,100%,33%,1830063,,,✔,2023-02-27 04:10:26,,,,
NAACW,Nasdaq,North Atlantic Acquisition Corp,,,,,0%,,,,,0%,,G66139125,,50%,17%,1830063,,,✔,2023-02-27 04:10:26,,,,
NAAS,Nasdaq,NaaS Technology Inc.,EQUINITI TRUST COMPANY,Yes,7806/7835,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,ir@enaas.com,86 (10) 8551-1868,,https://ir.enaas.com/shareholder-services/contact-ir,67%,"494,050,000",62955X102,,100%,89%,1712178,,,✔,2023-11-17 19:42:50,,,,
NABL,NYSE,"N-able, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/1834488/000183448822000056/nabl2022def14a.htm,100%,tim.obrien@n-able.com,,,https://investors.n-able.com/resources/contacts/default.aspx,33%,"180,210,000",62878D100,,100%,78%,1834488,,,✔,2023-11-17 19:42:12,,,,
NAC,NYSE,Nuveen California Quality Municipal Income Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"144,740,000",67066Y105,,100%,67%,1074952,,,✔,2023-02-27 04:10:26,,,,
NAD,NYSE,Nuveen Quality Municipal Income Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"233,410,000",67066V101,,100%,67%,1083839,,,✔,2023-02-27 04:10:26,,,,
NAHD,OTC,"New Asia Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1485029,,,,,,,,
NAII,Nasdaq,NATURAL ALTERNATIVES INTERNATIONAL INC,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/787253/000143774922024718/naii20221024_def14a.htm,67%,,,,,0%,"6,090,000",638842302,,100%,56%,787253,,,✔,2023-02-27 04:10:26,,,,
NAK,NYSE,NORTHERN DYNASTY MINERALS LTD,"COMPUTERSHARE TRUST COMPANY, N.A.",,,,33%,info@northerndynasty.com,(604) 684-6365,,https://northerndynastyminerals.com/contact/contact-information/,67%,"529,780,000",66510M204,,100%,67%,1164771,,,,2023-11-17 19:01:39,,,,
NAMI,Nasdaq,Jinxin Technology Holding Co,,,,,0%,,,,,0%,,,,0%,0%,1967631,,,,,,,,
NAMM,,Namib Minerals,,,,,,,,,,,,,,,,2026514,,,,,,,,
NAMS,Nasdaq,NewAmsterdam Pharma Co N.V.,,,,,0%,,,,,0%,,,,0%,0%,1936258,,,✔,2023-02-27 04:13:49,,,,
NAMSW,Nasdaq,NewAmsterdam Pharma Co N.V.,,,,,0%,,,,,0%,,,,0%,0%,1936258,,,✔,2023-02-27 04:13:53,,,,
NAN,NYSE,NUVEEN NEW YORK QUALITY MUNICIPAL INCOME FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"30,850,000",67066X107,,100%,67%,1074769,,,✔,2023-02-27 04:10:26,,,,
NANX,OTC,NANOPHASE TECHNOLOGIES Corp,,,,,0%,,,,,0%,,,,0%,0%,883107,,,,,,,,
NAOV,Nasdaq,"NanoVibronix, Inc.",VStock Transfer LLC,,7924,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,brett@haydenir.com,646-536-7331,,https://ir.nanovibronix.com/ir-contact/?_gl=1*1kj5vnk*_up*MQ..*_ga*MTA0NTI4MTk5MC4xNjk1Mzk0MTQ4*_ga_QF17VJ0XL7*MTY5NTM5NDE0Ny4xLjAuMTY5NTM5NDE0Ny4wLjAuMA..,67%,"28,000,000",63008J108,,100%,78%,1326706,,,✔,2023-11-23 18:44:16,,,,
NAPA,NYSE,"Duckhorn Portfolio, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/1835256/000114036122043024/ny20005446x2_def14a.htm,100%,ir@duckhorn.com,707-302-2635,,https://ir.duckhorn.com/overview/default.aspx,67%,"115,180,000",26414D106,,100%,89%,1835256,,,,2023-11-17 18:57:46,,,,
NARI,Nasdaq,"Inari Medical, Inc."," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1531048/000119312522105527/d302350ddef14a.htm,67%,,,,,0%,"53,390,000",45332Y109,,100%,56%,1531048,,,✔,2023-02-27 04:10:26,,,,
NAT,NYSE,NORDIC AMERICAN TANKERS Ltd,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"201,670,000",G65773106,,100%,67%,1000177,,,✔,2023-02-27 04:10:26,,,,
NATH,Nasdaq,"NATHANS FAMOUS, INC."," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/69733/000110465922081869/tm2221336-1_def14a.htm,67%,,,,,0%,"4,080,000",632347100,,100%,56%,69733,,,✔,2023-02-27 04:10:26,,,,
NATI,Nasdaq,National Instruments Corporation,First National Bank of Boston,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,marissa.vidaurri@ni.com,,,https://investor.ni.com/,33%,"132,320,000",636518102,,100%,56%,935494,,,,2023-11-17 18:57:00,,,,
NATL,NYSE,NCR Atleos Corp,,,,,0%,,,,,0%,,,,0%,0%,1974138,,,,,,,,
NATR,Nasdaq,NATURES SUNSHINE PRODUCTS INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/275053/000027505322000006/natr2022proxystatement.htm,100%,NATR@gateway-grp.com,949-574-3860,,https://ir.naturessunshine.com/company-information/contacts,67%,"19,230,000",639027101,,100%,89%,275053,,,✔,2023-11-17 18:52:38,,,,
NAUT,Nasdaq,"Nautilus Biotechnology, Inc.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1808805/000180880522000041/nautilusdef14a20220614a.htm,67%,investorrelations@nautilus.bio,,,https://investors.nautilus.bio/investor-resources/faqs,33%,"124,660,000",63909J108,,100%,67%,1808805,,,,2023-11-17 18:50:15,,,,
NAVB,OTC,"NAVIDEA BIOPHARMACEUTICALS, INC.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,,33%,InvestorRelations@navidea.com,(614) 822-2322,,https://ir.navidea.com/contacts,67%,"30,370,000",63937X202,,100%,67%,810509,,,✔,2023-11-17 18:49:39,,,,
NAVI,Nasdaq,NAVIENT CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Navient%22+%22transfer+agent%22,100%,,,,,0%,"141,880,000",63938C108,,100%,67%,1593538,,,✔,2023-02-27 04:13:49,,,,
NAYA,Nasdaq,"NAYA Biosciences, Inc.",,,,,,,,,,,,,,,,1417926,,,,,,,,
NAZ,NYSE,NUVEEN ARIZONA QUALITY MUNICIPAL INCOME FUND,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"11,580,000",67061W104,,100%,67%,892992,,,,2023-02-27 04:13:53,,,,
NB,Nasdaq,NIOCORP DEVELOPMENTS LTD,,,,,0%,,,,,0%,,,,0%,0%,1512228,,,,,,,,
NBB,NYSE,Nuveen Taxable Municipal Income Fund,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"28,810,000",67074C103,,100%,67%,1478888,,,,2023-02-27 04:10:26,,,,
NBBK,Nasdaq,"NB Bancorp, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1979330,,,,,,,,
NBH,NYSE,NEUBERGER BERMAN MUNICIPAL FUND INC.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"18,840,000",64124P101,,100%,67%,1178839,,,,2023-02-27 04:10:26,,,,
NBHC,NYSE,National Bank Holdings Corp,EQUINITI TRUST COMPANY,Yes,7806/7835,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,IR@nationalbankholdings.com,720.554.6640,,https://www.investorrelations.nationalbankholdings.com/corporate-information/corporate-profile/default.aspx,67%,"33,180,000",633707104,,100%,89%,1475841,,,✔,2023-11-17 18:48:40,,,,
NBIO,OTC,Nascent Biotech Inc.,,,,,0%,,,,,0%,,,,0%,0%,1622057,,,,,,,,
NBIS,Nasdaq,Nebius Group N.V.,,,,,0%,,,,,0%,,,,0%,0%,1513845,,,,,,,,
