Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
O,NYSE,REALTY INCOME CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/726728/000110465922041381/tm222939-2_pre14a.htm,100%,ir@realtyincome.com,877-924-6266 ,"11995 El Camino RealSan Diego, CA, 92130",https://www.realtyincome.com/investors,100%,"617,580,000",756109104,,100%,100%,726728,,,✔,2023-12-15 14:30:16,,,,
O-P,NYSE,REALTY INCOME CORP,,,,,0%,,,,,0%,,,,0%,0%,726728,,,,,,,,
OABI,Nasdaq,"OmniAb, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://investors.omniab.com/investors/resources/investor-faqs/default.aspx,100%,investors@omniab.com,,"5980 Horton StreetSuite 600Emeryville, CA 94608",https://investors.omniab.com/overview/default.aspx,67%,,,,0%,56%,1846253,,,✔,2023-12-15 14:32:13,,,,
OABIW,Nasdaq,"OmniAb, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://investors.omniab.com/investors/resources/investor-faqs/default.aspx,100%,investors@omniab.com,,"5980 Horton StreetSuite 600Emeryville, CA 94608",https://investors.omniab.com/overview/default.aspx,67%,,,,0%,56%,1846253,,,✔,2023-12-15 14:31:28,,,,
OACC,Nasdaq,Oaktree Acquisition Corp. III Life Sciences,,,,,0%,,,,,0%,,,,0%,0%,2029769,,,,,,,,
OACCU,Nasdaq,Oaktree Acquisition Corp. III Life Sciences,,,,,,,,,,,,,,,,2029769,,,,,,,,
OAK-PA,NYSE,"Brookfield Oaktree Holdings, LLC"," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,,33%,investorrelations@oaktreecapital.com,1 213 830-6300,"333 South Grand Avenue, 28th FloorLos Angeles, CA 90071",https://ir.oaktreecapital.com/ir-resources/contact-us,100%,,,,0%,44%,1403528,,,✔,2023-12-15 14:28:39,,,,
OAK-PB,NYSE,"Brookfield Oaktree Holdings, LLC"," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,,33%,investorrelations@oaktreecapital.com,1 213 830-6300,"333 South Grand Avenue, 28th FloorLos Angeles, CA 90071",https://ir.oaktreecapital.com/ir-resources/contact-us,100%,,,,0%,44%,1403528,,,✔,2023-12-15 14:28:43,,,,
OAKC,OTC,"Oakworth Capital, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1588871,,,,,,,,
OAKU,Nasdaq,Oak Woods Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1945422,,,,,,,,
OAKUR,Nasdaq,Oak Woods Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1945422,,,,,,,,
OAKUU,Nasdaq,Oak Woods Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1945422,,,,,,,,
OAKUW,Nasdaq,Oak Woods Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1945422,,,,,,,,
OASPW,OTC,Chord Energy Corp,,,,,0%,,,,,0%,,,,0%,0%,1486159,,,,,,,,
OB,Nasdaq,Outbrain Inc.," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1454938/000114036122016577/ny20003817x1_def14a.htm,67%,IR@outbrain.com,(332) 205-8999,,https://investors.outbrain.com,67%,"55,740,000",69002R103,,100%,78%,1454938,,,✔,2023-12-15 14:28:37,,,,
OBDC,NYSE,Blue Owl Capital Corp,,,,,0%,,,,,0%,,,,0%,0%,1655888,,,,,,,,
OBDE,NYSE,Blue Owl Capital Corp III,,,,,0%,,,,,0%,,,,0%,0%,1807427,,,,,,,,
OBE,NYSE,OBSIDIAN ENERGY LTD.,TSX Trust Company,,,https://obsidianenergy.com/investor-centre/,33%,investor.relations@ObsidianEnergy.com,1-888-770-2633,"207 - 9th Avenue SWCalgary, Alberta T2P 1K3",https://obsidianenergy.com/investor-centre/,100%,"82,150,000",674482203,,100%,78%,1334388,,,✔,2023-12-15 14:28:59,,,,
OBIO,Nasdaq,"Orchestra BioMed Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1814114,,,,,,,,
OBK,NYSE,"Origin Bancorp, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1516912,,,,,,,,
