Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
PAA,Nasdaq,PLAINS ALL AMERICAN PIPELINE LP,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,plainsIR@paalp.com,866-809-1291,"333 CLAY STREET, SUITE 1600, HOUSTON, TX, 77002",https://www.plains.com/about-us/contact-us/corporate-contacts,100%,"697,940,000",726503105,,100%,100%,1070423,,,✔,2023-12-24 02:40:32,,,,
PAAND,OTC,Pan American Energy Corp. (Canada),,,,,,,,,,,,,,,,1953588,,,,,,,,
PAANF,OTC,Pan American Energy Corp. (Canada),,,,,0%,,,,,0%,,,,0%,0%,1953588,,,,,,,,
PAAPU,OTC,PLAINS ALL AMERICAN PIPELINE LP,,,,,0%,,,,,0%,,,,0%,0%,1070423,,,,,,,,
PAAS,NYSE,PAN AMERICAN SILVER CORP,Montreal Trust Co. Of Canada,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,ir@panamericansilver.com,1 (604) 806-3191,"1500-625 HOWE STREET, VANCOUVER, British Columbia, Canada, V6C 2T6",https://www.panamericansilver.com/invest/,100%,"210,530,000",697900108,,100%,78%,771992,,,,2023-12-24 02:12:23,,,,
PAASF,OTC,PAN AMERICAN SILVER CORP,,,,,0%,,,,,0%,,,,0%,0%,771992,,,,,,,,
PAC,NYSE,Pacific Airport Group,The Bank Of New York Mellon Corporation,,,https://aeropuertosgap.com.mx/en/investors/36-inversionistas.html,33%,gmurillo@aeropuertosgap.com.mx,52(33)3880-1100,"Avenida Mariano Otero No. 1249-B Piso 6, Torre Pacífico, Rinconada del Bosque, Guadalajara, Jalisco C.P. 44530",https://www.aeropuertosgap.com.mx/en/ir-contacts.html,100%,"421,130,000",400506101,,100%,78%,1347557,,,✔,2023-12-23 23:50:51,,,,
PACB,Nasdaq,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1299130/000110465922046019/tm2212363-1_def14a.htm,67%,ir@pacb.com,650-521-8000,"1305 O'BRIEN DRIVE, MENLO PARK, CA, 94025",https://investor.pacificbiosciences.com/?_gl=1*1yckfvn*_ga*MzgwODMxMzIuMTY5OTY1NjM1MA..*_ga_TSCERCM0J4*MTY5OTY1NjM1MC4xLjEuMTY5OTY1NjM1Ni4wLjAuMA..,100%,"224,840,000",69404D108,,100%,89%,1299130,,,✔,2023-12-24 02:07:44,,,,
PACI,NYSE,PROOF Acquisition Corp I,,,,,0%,,,,,0%,"27,600,000",74349W104,,100%,33%,1853070,,,,2023-02-27 04:10:26,,,,
PACI-UN,NYSE,PROOF Acquisition Corp I,,,,,0%,,,,,0%,,,,0%,0%,1853070,,,,2023-02-27 04:10:26,,,,
PACI-WT,NYSE,PROOF Acquisition Corp I,,,,,0%,,,,,0%,,,,0%,0%,1853070,,,,2023-02-27 04:10:26,,,,
PACK,NYSE,Ranpak Holdings Corp.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://ir.ranpak.com/ir-resources/faqs/default.aspx,33%,ir@ranpak.com,440-354-4445,"​7990 Auburn Road, Concord Township, OH 44077",https://ir.ranpak.com/ir-resources/faqs/default.aspx,100%,"79,050,000",75321W103,,100%,78%,1712463,,,✔,2023-12-24 02:06:52,,,,
PACS,NYSE,"PACS Group, Inc.",,,,,0%,,,,,0%,,,,0%,0%,2001184,,,,,,,,
PACV,OTC,"Pacific Ventures Group, Inc.",,,,,0%,,,,,0%,,,,0%,0%,882800,,,,,,,,
PACW,Nasdaq,PacWest Bancorp,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,wblack@pacwest.com,919.597.7466,"130 S. STATE COLLEGE BLVD., BREA, CA, 92821",https://www.pacwest.com/investor-relations,100%,"117,770,000",695263103,,100%,100%,1102112,,,✔,2023-12-24 02:05:16,,,,
