Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
QBCAF,OTC,QUEBECOR MEDIA INC,,,,,0%,,,,,0%,,,,0%,0%,1156831,,,,,,,,
QBCRF,OTC,QUEBECOR MEDIA INC,,,,,0%,,,,,0%,,,,0%,0%,1156831,,,,,,,,
QBIO,OTC,Q BioMed Inc.,,,,,0%,,,,,0%,,,,0%,0%,1596062,,,,,,,,
QBTS,NYSE,D-Wave Quantum Inc.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1907982/000119312522076126/d366416ds4.htm,33%,ir@dwavesys.com,(604) 630-1428,"2650 EAST BAYSHORE ROAD, PALO ALTO, CA, 94303",https://ir.dwavesys.com/overview/default.aspx,100%,"61,600,000",26740W109,,100%,78%,1907982,,,,2023-12-24 07:29:02,,,,
QBTS-WT,NYSE,D-Wave Quantum Inc.,CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,,https://www.sec.gov/Archives/edgar/data/1907982/000119312522076126/d366416ds4.htm,33%,ir@dwavesys.com,(604) 630-1428,"2650 EAST BAYSHORE ROAD, PALO ALTO, CA, 94303",https://ir.dwavesys.com/overview/default.aspx,100%,,,,0%,44%,1907982,,,,2023-12-24 07:29:03,,,,
QCOM,Nasdaq,QUALCOMM INC/DE,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Qualcomm%22+%22transfer+agent%22,100%,ir@qualcomm.com,(858) 658-4813,,https://www.qualcomm.com/news/releases/2022/10/qualcomm-schedules-fourth-quarter-and-fiscal-2022-earnings-relea,67%,"1,123,000,000",747525103,,100%,89%,804328,,,,2023-02-27 04:10:26,,,,
QCRH,Nasdaq,QCR HOLDINGS INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,,,,,0%,"16,890,000",74727A104,,100%,67%,906465,,,,2023-09-04 04:10:29,,,,
QD,NYSE,Qudian Inc.,,,,,0%,,,,,0%,"190,230,000",747798106,,100%,33%,1692705,,,,2023-09-04 04:10:29,,,,
QDEL,Nasdaq,QuidelOrtho Corp,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,IR@QuidelOrtho.com,(858) 552-1100,"9975 SUMMERS RIDGE ROAD, SAN DIEGO, CA, 92121",https://ir.quidelortho.com/home/default.aspx,100%,"66,950,000",219798105,,100%,89%,1906324,,,,2023-12-24 07:26:05,,,,
QDMI,OTC,QDM International Inc.,,,,,0%,,,,,0%,,,,0%,0%,1094032,,,,,,,,
QETA,Nasdaq,Quetta Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1978528,,,,,,,,
QETAR,Nasdaq,Quetta Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1978528,,,,,,,,
QETAU,Nasdaq,Quetta Acquisition Corp,,,,,0%,,,,,0%,,,,0%,0%,1978528,,,,,,,,
QETH,CBOE,Invesco Galaxy Ethereum ETF,,,,,0%,,,,,0%,,,,0%,0%,1995569,,,,,,,,
QFIN,Nasdaq,"Qifu Technology, Inc.",The Bank Of New York Mellon,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,ir@360shuke.com,862161516360,"7/F LUJIAZUI FINANCE PLAZA, NO. 1217 DONGFANG ROAD, PUDONG NEW AREA, SHANGHAI, China, 200122",https://ir.360shuke.com/ir-contact,100%,"270,700,000",88557W101,,100%,78%,1741530,,,,2023-12-24 07:23:33,,,,
