Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
S,NYSE,"SentinelOne, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1583708/000158370822000028/s1def14a.htm,67%,investors@sentinelone.com,,"444 Castro Street, Suite 400, Mountain View, California 94041",https://investors.sentinelone.com/resources/investor-contacts/default.aspx,67%,"205,760,000",81730H109,,100%,78%,1583708,,,✔,2023-11-30 08:11:52,,,,
SA,NYSE,SEABRIDGE GOLD INC,,,,,0%,,,,,0%,"80,280,000",811916105,,100%,33%,1231346,,,✔,2023-02-27 04:13:44,,,,
SAAYY,OTC,SAIPEM S P A /FI,,,,,0%,,,,,0%,,,,0%,0%,1062750,,,,,,,,
SABA,NYSE,Saba Capital Income & Opportunities Fund II,,,,,0%,,,,,0%,,,,0%,0%,828803,,,,,,,,
SABR,Nasdaq,Sabre Corp," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1597033/000119312523072578/d430184ddef14a.htm,67%,,,,,0%,"328,190,000",78573M104,,100%,56%,1597033,,,✔,2023-02-27 04:10:26,,,,
SABRP,Nasdaq,Sabre Corp," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1597033/000119312523072578/d430184ddef14a.htm,67%,,,,,0%,"3,290,000",78573M203,,100%,56%,1597033,,,✔,2023-02-27 04:10:26,,,,
SABS,Nasdaq,"SAB Biotherapeutics, Inc.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1833214/000095017022010672/sabs_def_14a_2022.htm,67%,SABIR@westwicke.com,,"2100 East 54th Street North in Sioux Falls, SD 57104",https://ir.sab.bio/ir-resources/investor-faqs,67%,"43,030,000",78397T103,,100%,78%,1833214,,,✔,2023-11-30 08:10:29,,,,
SABSW,Nasdaq,"SAB Biotherapeutics, Inc.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,,7808,https://www.sec.gov/Archives/edgar/data/1833214/000095017022010672/sabs_def_14a_2022.htm,67%,SABIR@westwicke.com,,"2100 East 54th Street North in Sioux Falls, SD 57104",https://ir.sab.bio/ir-resources/investor-faqs,67%,"43,030,000",78397T111,,100%,78%,1833214,,,✔,2023-11-30 08:10:30,,,,
SACC,NYSE,Sachem Capital Corp.,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1682220/000110465922071001/tm2215965-2_def14a.htm,67%,investors@sachemcapitalcorp.com,475-338-1298,"568 East Main Street, Branford, CT 06405",https://ir.sachemcapitalcorp.com/contacts,100%,"1,380,000",78590A307,,100%,89%,1682220,,,✔,2023-11-30 08:09:19,,,,
SACH,NYSE,Sachem Capital Corp.,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1682220/000110465922071001/tm2215965-2_def14a.htm,67%,investors@sachemcapitalcorp.com,475-338-1298,"568 East Main Street, Branford, CT 06405",https://ir.sachemcapitalcorp.com/contacts,100%,"38,530,000",78590A109,,100%,89%,1682220,,,✔,2023-11-30 08:09:30,,,,
