Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
T,NYSE,AT&T INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22AT&T%22+%22transfer+agent%22,100%,investr@att.com,,,https://investors.att.com/resources/contacts,33%,"7,126,000,000",00206R102,,100%,78%,732717,,,,2023-02-27 04:10:26,,,,
T-PA,NYSE,AT&T INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22AT&T%22+%22transfer+agent%22,100%,investr@att.com,,,https://investors.att.com/resources/contacts,33%,,C00206R 10 2,,50%,61%,732717,,,,2023-02-27 04:10:26,,,,
T-PC,NYSE,AT&T INC.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22AT&T%22+%22transfer+agent%22,100%,investr@att.com,,,https://investors.att.com/resources/contacts,33%,,C00206R 10 2,,50%,61%,732717,,,,2023-02-27 04:10:26,,,,
TA,Nasdaq,TravelCenters Of America Inc,EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22TravelCenters of America%22+%22transfer+agent%22,100%,ir@ta-petro.com,(617) 796-8251,,,67%,"14,860,000",89421B109,,100%,89%,1378453,,,,2023-02-27 04:13:44,,,,
TAC,NYSE,TRANSALTA CORP,,,,,0%,,,,,0%,"270,690,000",89346D107,,100%,33%,1144800,,,✔,2023-02-27 04:13:53,,,,
TACPF,OTC,TRANSALTA CORP,,,,,0%,,,,,0%,,,,0%,0%,1144800,,,,,,,,
TACT,Nasdaq,TRANSACT TECHNOLOGIES INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,,,,,0%,"9,910,000",892918103,,100%,56%,1017303,,,✔,2023-02-27 04:10:26,,,,
TAGS,NYSE,Teucrium Commodity Trust,,,,,0%,,,,,0%,"1,487,502",88166A706,,100%,33%,1471824,,,✔,2023-02-27 04:10:26,,,,
TAIT,Nasdaq,TAITRON COMPONENTS INC,U.S. Stock Transfer Corporation,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,,,,,0%,"5,230,000",874028103,,100%,44%,942126,,,✔,2023-02-27 04:10:26,,,,
TAK,NYSE,TAKEDA PHARMACEUTICAL CO LTD,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"1,582,280,000",874060205,,100%,67%,1395064,,,✔,2023-02-27 04:10:26,,,,
