Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
U,NYSE,Unity Software Inc.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1810806/000181080622000011/unity2022proxy.htm,100%,IR@unity3d.com,,"30 3rd StreetSan Francisco, CA 94103",https://investors.unity.com/overview/default.aspx,67%,"300,470,000",91332U101,,100%,89%,1810806,,,✔,2023-12-07 18:53:06,,,,
UA,NYSE,"Under Armour, Inc.","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.google.com/search?q=%22Under Armour%22+%22transfer+agent%22,100%,svcinvestorrelations@underarmour.com,,,,33%,"232,100,000",904311206,,100%,78%,1336917,,,,2023-02-27 04:10:26,,,,
UAA,NYSE,"Under Armour, Inc.",CONTINENTAL STOCK TRANSFER & TRUST COMPANY,No,7808,https://www.google.com/search?q=%22Under Armour%22+%22transfer+agent%22,100%,svcinvestorrelations@underarmour.com,,,,33%,"188,690,000",904311107,,100%,78%,1336917,,,,2023-02-27 04:10:26,,,,
UAL,Nasdaq,"United Airlines Holdings, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22United Airlines Holdings%22+%22transfer+agent%22,100%,investorrelations@united.com,(872) 825-8610,,,67%,"326,750,000",910047109,,100%,89%,100517,,,,2023-02-27 04:10:26,,,,
UAMY,NYSE,UNITED STATES ANTIMONY CORP,,,,,0%,,,,,0%,"106,240,000",911549103,,100%,33%,101538,,,✔,2023-02-27 04:10:26,,,,
UAN,NYSE,"CVR PARTNERS, LP","AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,,,33%,InvestorRelations@CVRPartners.com,281-207-3205,"2277 Plaza Dr Ste 500 Sugar Land, TX, 77479-6602",https://investors.cvrpartners.com/shareholder-services/document-request,100%,"10,570,000",126633205,,100%,78%,1425292,,,✔,2023-12-07 18:52:06,,,,
UAVS,NYSE,AgEagle Aerial Systems Inc.,EQUINITI TRUST COMPANY,,7806,https://www.sec.gov/Archives/edgar/data/8504/000190359622000934/uavs_14a.htm,67%,,,,,0%,"87,000,000",00848K101,,100%,56%,8504,,,✔,2023-02-27 04:13:44,,,,
UBA,NYSE,Urstadt Biddle Properties Inc.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/1029800/000120677423000158/uba4110001-def14a.htm,100%,,,,,0%,"29,850,000",917286205,,100%,67%,1029800,,,✔,2023-02-27 04:13:47,,,,
UBCP,Nasdaq,UNITED BANCORP INC /OH/,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.sec.gov/Archives/edgar/data/731653/000110465922035438/tm223609-1_def14a.htm,100%,,,,,0%,"5,910,000",909911109,,100%,67%,731653,,,✔,2023-02-27 04:10:26,,,,
UBER,NYSE,"Uber Technologies, Inc","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Uber Technologies%22+%22transfer+agent%22,100%,investor@uber.com,,,,33%,"1,979,920,000",90353T100,,100%,78%,1543151,,,,2023-02-27 04:10:26,,,,
