Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
V,NYSE,VISA INC.,EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22Visa%22+%22transfer+agent%22,100%,ir@visa.com,(650) 432-7644,,,67%,"1,635,020,000",92826C839,,100%,89%,1403161,,,,2023-02-27 04:10:26,,,,
VABK,Nasdaq,Virginia National Bankshares Corp,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,"5,330,000",928031103,,100%,67%,1572334,,,✔,2023-02-27 04:10:26,,,,
VAC,NYSE,MARRIOTT VACATIONS WORLDWIDE Corp,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.google.com/search?q=%22Marriott Vacations Worldwide%22+%22transfer+agent%22,67%,,,,https://ir.marriottvacationsworldwide.com/contact-us,0%,"39,290,000",57164Y107,,100%,56%,1524358,,,✔,2023-02-27 04:10:26,,,,
VACC,Nasdaq,Vaccitech Plc,"COMPUTERSHARE TRUST COMPANY, N.A.",,,https://investors.barinthusbio.com/ir-resources/investor-faqs,33%,IR@barinthusbio.com,44 (0)1865 818808,"Unit 6-10, Zeus Building, Rutherford Avenue, Harwell OX11 0DF, United Kingdom",https://investors.barinthusbio.com/ir-resources/investor-faqs,100%,"37,220,000",91864C107,,100%,78%,1828185,,,,2024-01-09 14:24:34,,,,
VACH,Nasdaq,Voyager Acquisition Corp./Cayman Islands,,,,,0%,,,,,0%,,,,0%,0%,2006815,,,,,,,,
VACHU,Nasdaq,Voyager Acquisition Corp./Cayman Islands,,,,,0%,,,,,0%,,,,0%,0%,2006815,,,,,,,,
VACHW,Nasdaq,Voyager Acquisition Corp./Cayman Islands,,,,,0%,,,,,0%,,,,0%,0%,2006815,,,,,,,,
VADP,OTC,Vado Corp.,,,,,0%,,,,,0%,,,,0%,0%,1700849,,,,,,,,
VAL,NYSE,Valaris Ltd,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/314808/000031480822000029/val-2021xdef14a.htm,67%,ir.hdqrs@valaris.com,1 713 789 1400,"5847 San Felipe, Suite 3300, Houston, TX 77057",https://www.valaris.com/investors/contact/default.aspx,100%,"75,180,000",G9460G101,,100%,89%,314808,,,,2024-01-09 14:26:02,,,,
VAL-WT,NYSE,Valaris Ltd,"COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/314808/000031480822000029/val-2021xdef14a.htm,67%,ir.hdqrs@valaris.com,1 713 789 1400,"5847 San Felipe, Suite 3300, Houston, TX 77057",https://www.valaris.com/investors/contact/default.aspx,100%,,,,0%,56%,314808,,,,2024-01-09 14:26:03,,,,
