Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
W,NYSE,Wayfair Inc.,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Wayfair%22+%22transfer+agent%22,100%,ir@wayfair.com,,,https://investor.wayfair.com/resources/investor-faqs/default.aspx,33%,"80,510,000",94419L101,,100%,78%,1616707,,,,2023-02-27 04:10:26,,,,
WAB,NYSE,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,No,7824,https://www.google.com/search?q=%22Westinghouse Air Brake Technologies%22+%22transfer+agent%22,100%,kristine.kubacki@wabtec.com,412.825.1869,"30 Isabella Street, Pittsburgh, PA 15212 - USA",https://ir.wabteccorp.com,100%,"182,650,000",929740108,,100%,100%,943452,,,✔,2023-12-22 11:33:46,,,,
WABC,Nasdaq,WESTAMERICA BANCORPORATION,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.sec.gov/Archives/edgar/data/311094/000117494722000378/def14a-27566_wabc.htm,100%,,,,,0%,"26,910,000",957090103,,100%,67%,311094,,,,2023-09-10 19:19:01,,,,
WAFD,Nasdaq,WAFD INC,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,,https://www.wafdbank.com/about-us/investor-relations,33%,brad.goode@wafd.com,206-626-8178,"425 Pike Street, Seattle, WA 98101",https://www.wafdbank.com/about-us/investor-relations,100%,"65,320,000",938824109,,100%,78%,936528,,,,2023-12-22 19:45:53,,,,
WAFDP,Nasdaq,WAFD INC,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,,,https://www.wafdbank.com/about-us/investor-relations,33%,brad.goode@wafd.com,206-626-8178,"425 Pike Street, Seattle, WA 98101",https://www.wafdbank.com/about-us/investor-relations,100%,"12,000,000",938824307,,100%,78%,936528,,,,2023-12-22 19:45:54,,,,
WAFU,Nasdaq,Wah Fu Education Group Ltd,VStock Transfer LLC,,7924,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,,,,,0%,"4,440,000",G94184101,,100%,56%,1716770,,,,2023-11-23 18:46:06,,,,
WAI,Nasdaq,Top KingWin Ltd,,,,,,,,,,,,,,,,1938865,,,,,,,,
WAL,NYSE,WESTERN ALLIANCE BANCORPORATION,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,InvestorRelations@westernalliancebank.com,(602) 389-3500,"One East Washington Street Suite 1400 Phoenix, AZ 85004",,100%,"108,280,000",957638109,,100%,100%,1212545,,,,2023-12-06 20:19:36,,,,
WAL-PA,NYSE,WESTERN ALLIANCE BANCORPORATION,"COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,,,,,0%,,,,0%,33%,1212545,,,✔,2023-02-27 04:10:26,,,,
WALD,Nasdaq,Waldencast plc,,,,,0%,,,,,0%,"86,460,000",G9503X103,,100%,33%,1840199,,,✔,2023-02-27 04:10:26,,,,
WALDW,Nasdaq,Waldencast plc,,,,,0%,,,,,0%,,G9503X111,,50%,17%,1840199,,,✔,2023-02-27 04:10:26,,,,
WARM,OTC,"COOL TECHNOLOGIES, INC.",,,,,0%,,,,,0%,,,,0%,0%,1399352,,,,,,,,
WASH,Nasdaq,WASHINGTON TRUST BANCORP INC,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",Yes,7805/7810,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,investor.relations@washtrust.com,(401) 348-1566,"23 Broad Street P.O. Box 512. Westerly, RI 02891-0512",https://ir.washtrust.com/overview/default.aspx,100%,"17,170,000",940610108,,100%,100%,737468,,,✔,2023-12-22 11:25:12,,,,
WAST,OTC,WASTE ENERGY CORP.,,,,,,,,,,,,,,,,1515139,,,,,,,,
WAT,NYSE,WATERS CORP /DE/,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Waters%22+%22transfer+agent%22,100%,investor_relations@waters.com,,,,33%,"59,880,000",941848103,,100%,78%,1000697,,,,2023-02-27 04:10:26,,,,
WATT,Nasdaq,Energous Corp,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,ir@energous.com,(408) 963-0200,"3590 North First Street, Suite 210, San Jose, CA 95134",https://ir.energous.com/company-information/faq,100%,"77,480,000",29272C103,,100%,100%,1575793,,,✔,2023-12-22 11:22:46,,,,
WAVC,NYSE,Waverley Capital Acquisition Corp. 1,,,,,0%,,,,,0%,"21,490,000",G06536109,,100%,33%,1849580,,,✔,2023-02-27 04:10:26,,,,
WAVC-UN,NYSE,Waverley Capital Acquisition Corp. 1,,,,,0%,,,,,0%,,,,0%,0%,1849580,,,✔,2023-02-27 04:10:26,,,,
WAVC-WT,NYSE,Waverley Capital Acquisition Corp. 1,,,,,0%,,,,,0%,,,,0%,0%,1849580,,,✔,2023-02-27 04:10:26,,,,
WAVD,Nasdaq,"FIREFLY NEUROSCIENCE, INC.",VStock Transfer LLC // Direct Transfer LLC,,,https://ir.wavedancer.com,33%,investors@wavedancer.com,,"12015 Lee Jackson Memorial Highway, Suite 210, Fairfax, VA 22033",https://ir.wavedancer.com,67%,"19,130,000",456696103,,100%,67%,803578,,,✔,2023-12-22 11:15:50,,,,
WAVE,Nasdaq,Eco Wave Power Global AB (publ),,,,,0%,,,,,0%,"44,400,000",27900N103,,100%,33%,1846715,,,✔,2023-02-27 04:13:44,,,,
WAVS,OTC,Western Acquisition Ventures Corp.," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1868419/000110465922128410/tm2233035d1_def14a.htm,67%,,,,,0%,"14,750,000",95758L107,,100%,56%,1868419,,,✔,2023-02-27 04:13:47,,,,
WAVSU,OTC,Western Acquisition Ventures Corp.," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1868419/000110465922128410/tm2233035d1_def14a.htm,67%,,,,,0%,,95758L206,,50%,39%,1868419,,,✔,2023-02-27 04:13:49,,,,
WAVSW,OTC,Western Acquisition Ventures Corp.," AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",,7805,https://www.sec.gov/Archives/edgar/data/1868419/000110465922128410/tm2233035d1_def14a.htm,67%,,,,,0%,,95758L115,,50%,39%,1868419,,,✔,2023-02-27 04:13:53,,,,
WAY,Nasdaq,Waystar Holding Corp.,,,,,0%,,,,,0%,,,,0%,0%,1990354,,,,,,,,
WB,Nasdaq,WEIBO Corp,EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,100%,,,,,0%,"141,740,000",948596101,,100%,67%,1595761,,,✔,2023-02-27 04:10:26,,,,
WBA,Nasdaq,"Walgreens Boots Alliance, Inc.",EQUINITI TRUST COMPANY,Yes,7806/7835,https://www.google.com/search?q=%22Walgreens Boots Alliance%22+%22transfer+agent%22,100%,,(847) 315-2922,,,33%,"864,260,000",931427108,,100%,78%,1618921,,,✔,2023-02-27 04:10:26,,,,
WBBA,OTC,"WB Burgers Asia, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1787412,,,,,,,,
WBBAD,OTC,"WB Burgers Asia, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1787412,,,,,,,,
WBD,Nasdaq,"Warner Bros. Discovery, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Warner Bros. Discovery%22+%22transfer+agent%22,100%,investor.relations@wbd.com,(212) 548-5882,,,67%,"2,427,590,000",934423104,,100%,89%,1437107,,,,2023-02-27 04:10:26,,,,
WBHC,OTC,WILSON BANK HOLDING CO,,,,,0%,,,,,0%,,,,0%,0%,885275,,,,,,,,
WBQNL,OTC,Woodbridge Liquidation Trust,,,,,0%,,,,,0%,,,,0%,0%,1785494,,,,,,,,
WBS,NYSE,WEBSTER FINANCIAL CORP,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.sec.gov/Archives/edgar/data/801337/000119312523071402/d405129ddef14a.htm,100%,,,,,0%,"175,830,000",947890109,,100%,67%,801337,,,✔,2023-02-27 04:13:49,,,,
WBS-PF,NYSE,WEBSTER FINANCIAL CORP,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.sec.gov/Archives/edgar/data/801337/000119312523071402/d405129ddef14a.htm,100%,,,,,0%,,,,0%,33%,801337,,,,2023-02-27 04:10:26,,,,
WBS-PG,NYSE,WEBSTER FINANCIAL CORP,BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,Yes,7824,https://www.sec.gov/Archives/edgar/data/801337/000119312523071402/d405129ddef14a.htm,100%,,,,,0%,,,,0%,33%,801337,,,,2023-02-27 04:10:26,,,,
WBSR,OTC,Webstar Technology Group Inc.,,,,,0%,,,,,0%,,,,0%,0%,1645155,,,,,,,,
WBTN,Nasdaq,WEBTOON Entertainment Inc.,,,,,0%,,,,,0%,,,,0%,0%,1997859,,,,,,,,
WBUY,Nasdaq,WEBUY GLOBAL LTD,,,,,0%,,,,,0%,,,,0%,0%,1946703,,,,,,,,
WBX,NYSE,Wallbox N.V.,,,,,0%,,,,,0%,"138,250,000",N94209108,,100%,33%,1866501,,,,2023-02-27 04:10:26,,,,
WBX-WT,NYSE,Wallbox N.V.,,,,,0%,,,,,0%,,,,0%,0%,1866501,,,,2023-02-27 04:10:26,,,,
WCC,NYSE,WESCO INTERNATIONAL INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22WESCO International%22+%22transfer+agent%22,100%,wruthrauff@wesco.com,,,,33%,"50,800,000",95082P105,,100%,78%,929008,,,,2023-02-27 04:10:26,,,,
WCC-PA,NYSE,WESCO INTERNATIONAL INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22WESCO International%22+%22transfer+agent%22,100%,wruthrauff@wesco.com,,,,33%,"50,843,668",95082P105,,100%,78%,929008,,,,2023-02-27 04:10:26,,,,
WCHD,OTC,"WeCapital Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1880249,,,,,,,,
WCN,NYSE,"Waste Connections, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",,7807,https://www.sec.gov/Archives/edgar/data/1318220/000110465922041349/tm222302-1_def14a.htm,67%,IR@wasteconnections.com,832-442-2200,"3 Waterway Square Place The Woodlands, TX 77380 United States",https://investors.wasteconnections.com/faqs,100%,"257,180,000",94106B101,,100%,89%,1318220,,,✔,2023-12-22 03:24:03,,,,
WCRS,OTC,"WESTERN CAPITAL RESOURCES, INC.",,,,,0%,,,,,0%,,,,0%,0%,1363958,,,,,,,,
WCT,Nasdaq,Wellchange Holdings Co Ltd,,,,,0%,,,,,0%,,,,0%,0%,1990251,,,,,,,,
WCUI,OTC,"Wellness Center USA, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1516887,,,,,,,,
