Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
X,NYSE,UNITED STATES STEEL CORP,EQUINITI TRUST COMPANY,No,7806/7835,https://www.google.com/search?q=%22United States Steel%22+%22transfer+agent%22,100%,klewis@uss.com,(412) 433-6935,,,67%,"237,230,000",912909108,,100%,89%,1163302,,,,2023-02-27 04:10:26,,,,
XAEIU,OTC,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,,,,,,,,,,,,,,,,1023458,,,,,,,,
XAIR,Nasdaq,"Beyond Air, Inc.",Action Stock Transfer Corporation,,,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,33%,IR@beyondair.net,(516) 665-8200,"900 Stewart Ave Suite 301 Garden City, NY 11530",https://www.beyondair.net/contact/,100%,"29,890,000",08862L103,,100%,78%,1641631,,,,2023-12-06 19:46:39,,,,
XALCX,,"BNY Mellon Alcentra Global Multi-Strategy Credit Fund, Inc.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7806/7835,https://www.sec.gov/Archives/edgar/data/1057861/000162785422000033/lp1.htm,100%,,1 212 495 1784,"240 Greenwich StreetNew York, NY 10286United States",https://www.bnymellon.com/us/en/contact-us/general-inquiries.html,67%,,,,0%,56%,1729678,,,,2023-12-20 01:01:31,,,,
XBIO,Nasdaq,"Xenetic Biosciences, Inc.","Empire Stock Transfer, Inc.",,7844,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,xbio@jtcir.com,833-475-8247,"945 Concord Street Framingham, MA 01701",https://www.xeneticbio.com/contact,100%,"14,320,000",984015503,,100%,89%,1534525,,,✔,2023-12-22 11:31:21,,,,
XBIOW,Nasdaq,"Xenetic Biosciences, Inc.","Empire Stock Transfer, Inc.",,7844,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,xbio@jtcir.com,( 833) 475-8247,"945 Concord Street Framingham, MA 01701",https://www.xeneticbio.com/contact,100%,"23,740,000",984015131,,100%,89%,1534525,,,,2023-12-06 19:38:41,,,,
XBIT,Nasdaq,XBiotech Inc.,"AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC",No,7805,https://www.sec.gov/Archives/edgar/data/1626878/000119312522149975/d344243ddef14a.htm,100%,publicrelations@xbiotech.com,(512) 386- 2900,"5217 WINNEBAGO LN. AUSTIN, TX 78744",https://investors.xbiotech.com/contact-ir/,100%,"30,440,000",98400H102,,100%,100%,1626878,,,,2023-12-06 19:38:55,,,,
XBP,Nasdaq,"XBP Europe Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1839530,,,,,,,,
XBPEW,Nasdaq,"XBP Europe Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1839530,,,,,,,,
XCAPX,,ACAP Strategic Fund,,,,,0%,,,,,0%,,,,0%,0%,1467631,,,✔,2023-02-27 04:13:53,,,,
