Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
Y,NYSE,Alleghany Corporation,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Alleghany%22+%22transfer+agent%22,100%,,(212) 752-1356,"Alleghany Corporation 1411 Broadway, 34th Floor New York, New York 10018",https://alleghany.q4web.com/contact-us/,67%,"13,460,000",17175100,,100%,89%,775368,,,,2023-11-29 18:35:48,,,,
YAAS,Nasdaq,Youxin Technology Ltd,,,,,0%,,,,,0%,,,,0%,0%,1964946,,,,,,,,
YAHOF,OTC,Yahoo! Japan Corp,,,,,0%,,,,,0%,,,,0%,0%,1446437,,,,,,,,
YAHOY,OTC,Yahoo! Japan Corp,,,,,0%,,,,,0%,,,,0%,0%,1446437,,,,,,,,
YALA,NYSE,Yalla Group Ltd,,,,,0%,ir@yallatech.ae,(571) 8980-7962,"#238 Building 16, Dubai Internet City Dubai, United Arab Emirates",https://ir.yallagroup.com/IR-Contacts,100%,"123,540,000",98459U103,,100%,67%,1794350,,,,2023-11-29 18:35:36,,,,
YAMHF,OTC,"Yamaha Motor Co., Ltd.",,,,,0%,,,,,0%,,,,0%,0%,1447100,,,,,,,,
YAYO,OTC,"EVmo, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1691077,,,,,,,,
YB,Nasdaq,Yuanbao Inc.,,,,,0%,,,,,0%,,,,0%,0%,1995520,,,,,,,,
YBCN,OTC,Yong Bai Chao New Retail Corp,,,,,0%,,,,,0%,,,,0%,0%,1284454,,,,,,,,
YBGJ,OTC,Yubo International Biotech Ltd,,,,,0%,,,,,0%,,,,0%,0%,895464,,,,,,,,
YCBD,NYSE,"cbdMD, Inc.",VStock Transfer LLC,,,,33%,IR@CBDMD.COM,704-445-3060 EXT 1103,"8845 RED OAK BLVDCHARLOTTE, NC 28217",https://www.cbdmd.com/pages/investors,100%,"60,560,000",12482W101,,100%,78%,1644903,,,✔,2023-11-29 18:36:58,,,,
YCBD-PA,NYSE,"cbdMD, Inc.",VStock Transfer LLC,,,,33%,IR@CBDMD.COM,704-445-3060 EXT 1103,"8845 RED OAK BLVDCHARLOTTE, NC 28217",https://www.cbdmd.com/pages/investors,100%,,,,0%,44%,1644903,,,,2023-11-29 18:36:58,,,,
YCL,NYSE,ProShares Trust II,The Bank Of New York Mellon ,,,https://www.proshares.com/globalassets/proshares/documents/8k/pstii_8k_09072022.pdf,33%,info@proshares.com,240-497-6400,"7501 WISCONSIN AVE, SUITE 1000, BETHESDA, MD, 20814",https://www.proshares.com/about/contact,100%,"349,970",74347W270,,100%,78%,1415311,,,,2023-12-28 13:02:20,,,,
YCQH,OTC,YCQH Agricultural Technology Co. Ltd,,,,,0%,,,,,0%,,,,0%,0%,1794276,,,,,,,,
YCRM,OTC,Yuenglings Ice Cream Corp,,,,,0%,,,,,0%,,,,0%,0%,1624517,,,,,,,,
YCS,NYSE,ProShares Trust II,The Bank Of New York Mellon ,,,https://www.proshares.com/globalassets/proshares/documents/8k/pstii_8k_09072022.pdf,33%,info@proshares.com,240-497-6400,"7501 WISCONSIN AVE, SUITE 1000, BETHESDA, MD, 20814",https://www.proshares.com/about/contact,100%,"798,580",74347W569,,100%,78%,1415311,,,,2023-12-28 13:02:22,,,,
YDES,,YD Bio Ltd,,,,,,,,,,,,,,,,2011674,,,,,,,,
YELL,Nasdaq,Yellow Corp,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Yellow%22+%22transfer+agent%22,100%,investor@myyellow.com,(913) 696-6108,,,67%,"51,630,000",985510106,,100%,89%,716006,,,,2023-02-27 04:10:26,,,,
YELLQ,OTC,Yellow Corp,,,,,0%,,,,,0%,,,,0%,0%,716006,,,,,,,,
YELP,NYSE,YELP INC,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.sec.gov/Archives/edgar/data/1345016/000134501622000034/a2022def14aproxystatement.htm,100%,IR@yelp.com,,,,33%,"70,270,000",985817105,,100%,78%,1345016,,,,2023-02-27 04:10:26,,,,
YERBF,OTC,YERBAE BRANDS CORP.,,,,,0%,,,,,0%,,,,0%,0%,1978133,,,,,,,,
YETI,NYSE,"YETI Holdings, Inc.",BROADRIDGE CORPORATE ISSUER SOLUTIONS INC.,No,7824,https://www.sec.gov/Archives/edgar/data/1670592/000110465922036106/tm2135773d3_def14a.htm,100%,investor.relations@yeti.com,(512) 271-6332,"7601 Southwest Parkway, Austin, Texas 78735",https://investors.yeti.com/resources/investor-faq/default.aspx,100%,"86,180,000",98585X104,,100%,100%,1670592,,,,2023-02-27 04:10:26,,,,
