Ticker,Exchange,Company_Name_Issuer,Transfer_Agent,Online_Purchase,DTC_Member_Number,TA_URL,Transfer_Agent_Pct,IR_Emails,IR_Phone_Number,IR_Company_Address,IR_URL,IR_Contact_Info,Shares_Outstanding,CUSIP,Company_Info_URL,Company_Info,Full_Progress_Pct,CIK,DRS,Percent_Shares_DRSd,Submission_Received,Timestamps_UTC,Learn_More_About_DRS,Certificates_Offered,S_And_P_500,Incorporated_In
Z,Nasdaq,"ZILLOW GROUP, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.sec.gov/Archives/edgar/data/1617640/000161764022000050/a2022proxystatement.htm,100%,IR@zillow.com,(206) 757-2701,,https://s24.q4cdn.com/723050407/files/doc_financials/2022/ar/zillow-proxy-statement-2023.pdf,67%,"175,980,000",98954M200,,100%,89%,1617640,,,,2023-02-27 04:10:26,,,,
ZAAG,OTC,"ZA Group, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1893124,,,,,,,,
ZAPP,Nasdaq,Zapp Electric Vehicles Group Ltd,,,,,0%,,,,,0%,,,,0%,0%,1955104,,,,,,,,
ZAPPW,Nasdaq,Zapp Electric Vehicles Group Ltd,,,,,0%,,,,,0%,,,,0%,0%,1955104,,,,,,,,
ZBAO,Nasdaq,Zhibao Technology Inc.,,,,,0%,,,,,0%,,,,0%,0%,1966750,,,,,,,,
ZBH,NYSE,"ZIMMER BIOMET HOLDINGS, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://www.google.com/search?q=%22Zimmer Biomet Holdings%22+%22transfer+agent%22,100%,keri.mattox@zimmerbiomet.com,,,,33%,"209,820,000",98956P102,,100%,78%,1136869,,,,2023-02-27 04:10:26,,,,
ZBIO,Nasdaq,"Zenas BioPharma, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1953926,,,,,,,,
ZBRA,Nasdaq,ZEBRA TECHNOLOGIES CORP,"COMPUTERSHARE TRUST COMPANY, N.A.",No,7807,https://www.google.com/search?q=%22Zebra Technologies%22+%22transfer+agent%22,100%,investorrelations@zebra.com,(847) 518-6432,,,67%,"51,790,000",989207105,,100%,89%,877212,,,,2023-02-27 04:13:44,,,,
ZCAR,Nasdaq,"Zoomcar Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1854275,,,,,,,,
ZCARW,Nasdaq,"Zoomcar Holdings, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1854275,,,,,,,,
ZCMD,Nasdaq,Zhongchao Inc.,Transhare Corporation,,7913,https://www.nasdaqtrader.com/content/home/help/samplereports/Fundamental_Data_cusip121720.xlsx,67%,shunyu.zheng@weitian-ir.com,021-32205987,"841 YAN AN MIDDLE ROAD, JING AN DISTRICT, NANXI CREATIVE CENTER, SUITE 218, SHANGHAI, China, 200040",https://www.prnewswire.com/news-releases/zhongchao-inc-reports-the-fiscal-year-2021-financial-results-301542297.html,100%,"19,450,000",G9897X107,,100%,89%,1785566,,,,2023-12-24 07:30:32,,,,
ZCSH,OTC,Grayscale Zcash Trust (ZEC),,,,,0%,,,,,0%,,,,0%,0%,1720265,,,,,,,,
ZCXX,,ZC GOLD Jewelry INC,,,,,0%,,,,,0%,,,,0%,0%,2033762,,,,,,,,
ZD,Nasdaq,"ZIFF DAVIS, INC.","COMPUTERSHARE TRUST COMPANY, N.A.",Yes,7807,https://docs.google.com/spreadsheets/d/1MjDad_gZmywTxMVQxsnH2uc9sPIvUa3O51SDyTYm_vs/edit,100%,investor@ziffdavis.com,(800) 577-1790,,https://investor.ziffdavis.com/shareholder-services/contact-us/default.aspx,67%,"47,190,000",48123V102,,100%,89%,1084048,,,,2023-02-27 04:10:26,,,,
ZDGE,NYSE,"Zedge, Inc.",,,,,0%,ir@zedge.net,,,https://feeds.issuerdirect.com/news-release.html?newsid=5088486375534726,33%,"14,500,000",98923T104,,100%,44%,1667313,,,,2023-08-22 04:00:33,,,,
ZDPY,OTC,"Zoned Properties, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1279620,,,,,,,,
ZENA,Nasdaq,"ZenaTech, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1997403,,,,,,,,
ZENV,Nasdaq,Zenvia Inc.,,,,,0%,ir@zenvia.com,,"Avenida Paulista 2,300, 18th. Floor, Suítes 182 and 184, São Paulo, São Paulo, 01310-300, Brazil.",https://investors.zenvia.com/resources/contact-ir/,67%,"17,620,000",G9889V101,,100%,56%,1836934,,,,2023-12-24 07:31:53,,,,
ZEO,Nasdaq,Zeo Energy Corp.,,,,,0%,,,,,0%,,,,0%,0%,1865506,,,,,,,,
ZEOWW,Nasdaq,Zeo Energy Corp.,,,,,0%,,,,,0%,,,,0%,0%,1865506,,,,,,,,
ZEOX,OTC,"Zeo ScientifiX, Inc.",,,,,0%,,,,,0%,,,,0%,0%,1557376,,,,,,,,
